r,l,t
240.0,996,44.461079
90.0,489,47.504617
100.0,467,50.526193
155.0,480,53.311502
260.0,701,57.726442
90.0,515,61.21645
135.0,632,65.250027
135.0,602,68.913636
295.0,625,72.961084
105.0,462,75.881388
255.0,837,104.885635
135.0,524,111.472285
140.0,503,117.809221
215.0,563,124.571295
185.0,539,132.213768
365.0,562,138.676973
420.0,920,149.571329
155.0,391,154.468126
80.0,295,158.009028
110.0,515,164.397032
80.0,343,168.978807
80.0,302,172.582082
40.0,251,175.657518
215.0,637,183.410636
105.0,488,189.640116
185.0,605,196.340903
210.0,624,203.983862
135.0,588,211.601938
290.0,753,220.424556
210.0,625,228.059006
180.0,621,236.07677
460.0,782,245.903085
380.0,604,253.872109
380.0,621,261.835348
210.0,641,269.457477
270.0,743,278.512009
180.0,653,286.443282
380.0,643,294.288291
210.0,627,302.089309
180.0,629,309.554054
225.0,811,319.231504
325.0,810,328.525764
180.0,646,336.317852
180.0,641,344.392929
210.0,608,352.132811
185.0,605,359.832489
320.0,820,369.892213
155.0,604,377.779832
480.0,780,387.621368
155.0,607,394.722499
210.0,629,402.588782
155.0,591,410.373979
155.0,603,418.127596
180.0,652,426.160609
260.0,795,435.756155
285.0,729,444.283269
300.0,808,454.453873
210.0,649,462.64071
155.0,600,469.685213
260.0,784,478.995579
240.0,754,488.577134
285.0,731,497.717818
210.0,635,505.315742
180.0,610,512.231881
260.0,721,521.028142
380.0,613,528.735559
210.0,600,535.779935
210.0,637,543.740538
530.0,797,553.159963
240.0,718,561.771906
105.0,494,567.698417
210.0,637,575.525069
155.0,602,582.319499
225.0,821,592.645113
260.0,724,600.872379
260.0,725,609.739733
290.0,730,618.467565
240.0,735,627.30603
460.0,739,636.417132
280.0,724,644.802246
240.0,726,654.209346
210.0,594,661.550542
210.0,618,668.654006
110.0,537,675.591618
210.0,642,682.903771
135.0,553,690.393059
240.0,721,698.692106
215.0,641,706.083234
390.0,1060,718.92853
210.0,640,726.992542
285.0,812,737.46209
120.0,485,742.609215
110.0,489,748.653406
260.0,745,757.958562
135.0,568,764.684247
490.0,729,773.669618
155.0,595,781.171657
290.0,818,790.842654
260.0,723,799.418305
330.0,814,809.87275
210.0,627,817.755981
460.0,721,826.124916
410.0,639,834.142375
120.0,475,840.228515
180.0,606,846.916093
130.0,422,852.444908
380.0,609,859.695302
290.0,739,869.024384
180.0,643,876.946578
210.0,632,884.879508
210.0,629,892.78824
260.0,727,901.391453
365.0,1080,915.138944
260.0,726,923.528424
210.0,627,931.022873
260.0,752,939.998867
530.0,1070,952.996964
210.0,600,960.711405
460.0,729,970.05704
805.0,1289,985.343418
