r,l,t
120.0,439,40.705847
110.0,454,43.642675
105.0,384,46.168521
160.0,617,49.970984
155.0,480,52.84301
330.0,811,58.000979
125.0,479,61.249474
140.0,611,65.12074
65.0,335,67.147393
260.0,721,71.627318
150.0,459,74.694331
415.0,647,99.511798
180.0,537,106.558135
85.0,458,112.788755
120.0,514,119.19906
385.0,557,125.905487
545.0,879,137.182505
60.0,282,140.312854
45.0,410,144.903251
610.0,1090,159.125223
135.0,477,164.550806
160.0,519,171.073265
120.0,308,175.267919
125.0,529,181.554343
110.0,474,186.864614
180.0,630,194.566722
75.0,293,198.004456
180.0,618,205.4891
210.0,632,213.640921
210.0,627,221.431214
410.0,600,229.003196
180.0,625,236.29678
210.0,629,244.291793
285.0,727,253.875529
230.0,704,262.470345
410.0,639,270.19818
210.0,635,278.295077
210.0,620,286.019308
240.0,758,295.39642
270.0,738,303.894238
155.0,600,311.28596
270.0,736,320.402034
255.0,765,329.386921
380.0,655,337.168966
210.0,614,344.398582
410.0,640,352.403602
260.0,746,361.781555
210.0,635,369.742044
315.0,811,379.84038
105.0,485,386.057881
135.0,600,393.895574
210.0,618,401.046495
380.0,623,408.92833
180.0,636,416.986463
210.0,645,425.017674
475.0,765,434.392753
180.0,597,441.991041
260.0,735,450.23885
240.0,822,460.965865
225.0,810,470.990808
460.0,761,480.221656
160.0,589,487.099692
240.0,718,496.298341
180.0,622,503.70673
260.0,732,512.158257
230.0,738,521.149742
565.0,1167,535.552028
180.0,630,543.467566
410.0,632,551.070224
330.0,1054,563.356752
105.0,481,569.19625
210.0,636,576.981824
490.0,734,585.359298
240.0,730,594.416346
210.0,607,601.829449
260.0,731,610.108208
700.0,1082,623.908216
605.0,1136,636.973953
260.0,734,646.111286
180.0,599,653.882361
750.0,1064,666.527878
210.0,627,674.262078
135.0,616,682.050446
155.0,599,689.186549
110.0,488,695.307897
415.0,685,703.068333
120.0,562,710.258619
210.0,613,717.164209
210.0,602,724.886845
265.0,720,733.232287
365.0,1059,746.56662
210.0,683,754.703608
180.0,624,762.552143
565.0,1071,775.338371
240.0,720,784.482423
500.0,825,794.122349
210.0,621,802.074634
285.0,717,810.431676
210.0,626,818.269423
345.0,1077,832.21084
410.0,608,839.103761
210.0,647,846.735455
120.0,474,852.664213
225.0,691,861.291381
210.0,629,869.024663
410.0,614,876.68397
410.0,614,884.478286
210.0,648,892.531922
210.0,621,899.709382
355.0,568,907.240486
210.0,635,914.963128
410.0,631,921.995867
650.0,1279,937.213125
210.0,619,944.983531
410.0,649,952.852122
180.0,624,960.811355
300.0,819,970.740494
260.0,742,979.957185
500.0,800,989.20653
210.0,621,997.121969
595.0,1200,1011.848511
260.0,742,1021.137689
790.0,1082,1034.419014
280.0,771,1043.870745
210.0,620,1051.581518
420.0,1095,1065.519186
265.0,735,1074.196741
300.0,752,1083.721519
590.0,1092,1097.591964
460.0,731,1106.148521
345.0,1081,1120.142365
260.0,716,1128.286863
290.0,720,1137.618511
210.0,625,1145.156236
390.0,1090,1158.70503
415.0,643,1166.753638
420.0,1056,1179.789517
315.0,758,1189.32233
565.0,811,1199.241745
210.0,614,1207.078686
225.0,690,1215.396881
290.0,748,1224.685259
275.0,737,1234.111367
290.0,765,1243.807156
345.0,786,1253.631522
595.0,1098,1266.685238
420.0,1084,1280.604329
315.0,859,1290.505831
440.0,678,1299.334322
320.0,797,1308.859608
410.0,628,1316.514363
210.0,610,1323.63068
285.0,710,1332.693878
285.0,708,1340.810739
460.0,723,1349.821303
435.0,1168,1364.334188
485.0,733,1373.685147
485.0,717,1382.11757
450.0,1263,1397.326917
390.0,1093,1410.518333
210.0,615,1418.226561
590.0,1080,1431.829173
390.0,1081,1444.783179
315.0,959,1456.17866
440.0,1197,1471.204896
345.0,797,1480.76195
530.0,787,1490.389016
470.0,1225,1505.162323
450.0,1093,1518.966655
390.0,1089,1531.637417
650.0,1215,1546.719065
330.0,794,1555.852792
210.0,615,1563.232613
735.0,1049,1575.839534
300.0,732,1584.778582
365.0,1029,1596.502741
345.0,771,1605.773203
330.0,742,1615.041099
590.0,1074,1628.915377
665.0,1091,1642.016809
580.0,1098,1655.143461
530.0,825,1665.375841
350.0,793,1675.143215
485.0,721,1684.2439
210.0,608,1691.120152
315.0,752,1700.411442
455.0,1099,1714.111828
535.0,805,1723.506745
300.0,809,1733.059533
315.0,701,1742.060701
260.0,720,1750.472827
290.0,726,1759.515422
315.0,809,1769.431685
290.0,715,1777.849287
210.0,615,1785.460636
390.0,1077,1798.46882
690.0,1144,1811.604546
650.0,1167,1825.715707
795.0,1119,1839.654718
310.0,737,1848.872345
290.0,752,1857.959461
255.0,749,1866.637155
290.0,720,1875.830837
450.0,1207,1890.151527
390.0,1081,1903.481377
420.0,1077,1916.316608
420.0,1058,1928.991549
270.0,731,1937.678704
365.0,813,1947.176518
545.0,770,1956.349412
470.0,1112,1970.200394
420.0,1070,1982.791288
550.0,1396,1999.918576
500.0,727,2009.174004
605.0,1113,2022.413486
755.0,1231,2037.850821
495.0,1166,2051.77782
420.0,1087,2064.377414
420.0,1065,2077.71338
340.0,804,2087.293317
665.0,1122,2100.705122
620.0,1063,2114.325135
620.0,1081,2127.346678
515.0,723,2136.308995
620.0,1057,2148.861922
665.0,1116,2162.547979
470.0,1173,2176.586597
605.0,1099,2189.354312
635.0,1098,2203.374923
545.0,807,2212.335857
305.0,736,2220.953992
285.0,702,2229.149067
635.0,1153,2243.235564
670.0,1148,2257.042837
590.0,1087,2269.801428
670.0,1167,2283.992213
670.0,1267,2299.542563
390.0,1089,2312.925844
650.0,1139,2325.957686
315.0,733,2335.172096
420.0,1057,2347.593961
470.0,1112,2361.642416
665.0,1152,2375.424967
665.0,1131,2388.566821
670.0,1104,2401.413666
390.0,1089,2415.123583
435.0,1081,2427.460832
285.0,707,2436.357271
290.0,715,2444.200769
305.0,741,2453.170738
365.0,816,2462.476774
485.0,1126,2476.133842
365.0,1094,2489.103454
510.0,742,2498.091217
420.0,1076,2511.115893
530.0,807,2521.522971
670.0,1109,2534.666513
260.0,657,2542.743875
435.0,1093,2556.543395
850.0,1104,2569.822904
420.0,1080,2583.733703
635.0,1093,2596.353586
300.0,721,2605.429513
210.0,577,2612.031595
875.0,1109,2625.969087
850.0,1254,2640.75229
610.0,1516,2658.535504
880.0,1229,2673.403395
470.0,1113,2687.122878
470.0,1099,2699.863544
