r,l,t
620.0,959,44.262774
135.0,566,47.809125
135.0,412,50.463928
240.0,592,54.002878
65.0,429,56.728579
50.0,400,59.208329
150.0,609,63.350367
150.0,598,67.006656
105.0,460,69.854885
65.0,595,73.781118
80.0,439,76.521904
490.0,639,103.41878
245.0,636,111.485492
45.0,296,114.969488
520.0,984,127.67067
45.0,248,130.904338
170.0,451,136.127262
85.0,416,141.503519
110.0,386,145.314739
165.0,602,153.085456
155.0,508,159.663153
200.0,547,166.220989
45.0,402,171.241109
210.0,586,178.689418
265.0,762,188.038004
120.0,575,194.597949
410.0,619,202.327399
355.0,604,209.877934
210.0,624,217.257878
225.0,717,226.408247
210.0,592,233.340825
260.0,746,242.822925
210.0,615,250.806315
450.0,821,260.911854
260.0,746,270.224476
410.0,635,278.345153
180.0,659,286.339199
180.0,627,294.044993
265.0,724,303.232007
155.0,601,309.796129
210.0,645,317.691637
260.0,728,326.481745
180.0,627,334.111159
105.0,488,339.44794
180.0,641,347.535612
180.0,611,355.331941
180.0,620,363.146247
180.0,640,371.309259
165.0,596,378.379632
305.0,821,389.219235
275.0,760,398.768719
265.0,731,407.315933
265.0,725,416.717922
180.0,663,424.912429
380.0,649,432.911241
410.0,652,440.829548
270.0,719,449.661981
210.0,638,456.915877
260.0,728,466.340535
210.0,640,474.232549
460.0,1029,486.856365
210.0,619,494.634988
180.0,648,502.368305
260.0,730,510.666604
210.0,641,518.321266
180.0,607,526.203987
270.0,732,535.266126
210.0,631,543.15281
250.0,736,551.506648
210.0,615,558.75742
180.0,642,566.342213
210.0,627,574.047018
180.0,676,582.141992
155.0,611,589.740529
285.0,754,598.78554
240.0,744,607.092274
410.0,630,614.946896
240.0,718,624.056718
515.0,812,633.401046
490.0,816,642.961583
180.0,609,650.863437
210.0,605,658.422481
320.0,803,668.194588
410.0,707,676.412525
500.0,838,687.327889
260.0,757,696.620572
120.0,503,701.938317
210.0,623,709.30251
260.0,733,718.536493
210.0,653,726.644737
210.0,623,734.383195
285.0,734,742.746686
180.0,599,750.271476
590.0,1099,764.103487
210.0,626,770.9655
210.0,613,778.640731
210.0,603,786.214539
265.0,736,795.425023
180.0,645,802.748346
290.0,753,812.135022
240.0,748,821.53674
380.0,604,829.231332
285.0,745,838.550442
295.0,819,848.080293
210.0,627,855.93641
180.0,639,864.144189
210.0,625,871.092473
80.0,304,875.129216
215.0,675,883.38696
210.0,613,891.244054
210.0,630,899.127995
410.0,661,907.275981
210.0,656,915.171251
210.0,636,922.918149
210.0,617,929.773349
210.0,637,937.189528
210.0,616,944.932292
210.0,630,952.704087
300.0,826,962.76311
350.0,1046,975.467391
210.0,618,982.969359
290.0,753,992.441686
275.0,745,1001.644564
275.0,754,1011.261024
500.0,827,1021.105861
300.0,807,1030.935414
285.0,721,1040.341178
285.0,718,1048.595196
275.0,748,1057.974988
245.0,688,1066.305359
460.0,714,1075.486147
530.0,816,1085.435937
210.0,608,1093.151514
390.0,1103,1106.426722
210.0,615,1114.269029
300.0,725,1123.429747
260.0,724,1131.721229
490.0,734,1141.187874
515.0,799,1150.800743
390.0,1088,1164.942065
525.0,822,1175.00844
265.0,725,1184.296853
345.0,802,1194.106107
835.0,1172,1208.679705
330.0,815,1218.65495
420.0,1084,1232.395796
460.0,734,1240.990937
420.0,1101,1255.286574
210.0,624,1262.825744
225.0,680,1271.208502
590.0,1089,1284.245311
240.0,698,1293.153905
260.0,717,1301.692266
330.0,1062,1314.882668
840.0,1266,1330.056923
240.0,692,1338.840411
210.0,659,1346.728451
345.0,794,1356.391643
450.0,1265,1372.381631
300.0,745,1381.633078
465.0,694,1389.504501
270.0,739,1398.763232
360.0,1044,1411.602336
275.0,722,1420.037408
395.0,1102,1433.798214
315.0,817,1443.446174
390.0,1098,1457.263145
345.0,799,1466.591061
440.0,1118,1480.534208
530.0,725,1489.061788
360.0,789,1498.579478
545.0,1038,1511.520968
280.0,732,1520.55254
300.0,734,1529.569496
850.0,1220,1543.877787
285.0,727,1552.694139
635.0,1260,1567.06207
345.0,816,1577.467725
320.0,981,1588.762541
345.0,1031,1601.174879
605.0,1126,1615.050612
325.0,732,1624.39892
470.0,1273,1640.278282
535.0,828,1650.063202
330.0,805,1659.662175
685.0,1173,1673.920768
320.0,744,1683.194299
325.0,738,1692.432393
600.0,1067,1705.35016
120.0,491,1711.308075
780.0,1292,1726.735529
285.0,721,1735.057316
410.0,612,1742.826266
285.0,721,1751.920494
210.0,618,1759.461913
470.0,1129,1772.945967
210.0,608,1780.745651
285.0,719,1789.587645
390.0,1105,1802.271709
340.0,810,1811.639949
470.0,743,1820.769418
545.0,1178,1835.381542
470.0,1237,1850.703294
620.0,1075,1863.296398
225.0,687,1872.150079
420.0,1092,1885.131628
485.0,720,1894.076563
635.0,1068,1906.654057
390.0,1067,1919.565495
595.0,1072,1932.201409
300.0,727,1940.907307
980.0,1449,1957.981405
495.0,1113,1971.901186
420.0,1077,1984.620905
485.0,712,1993.481384
635.0,1111,2006.662967
285.0,751,2016.18952
575.0,1341,2033.156313
620.0,1074,2045.821575
770.0,1210,2059.881043
470.0,1145,2073.585834
900.0,1197,2088.71007
590.0,1080,2101.9144
670.0,1258,2117.514369
470.0,1257,2132.42626
390.0,1085,2145.673116
420.0,1064,2158.414116
670.0,1132,2172.279857
620.0,1098,2185.016611
320.0,749,2194.379065
670.0,1117,2208.012593
520.0,803,2216.894655
585.0,1384,2233.853477
285.0,710,2241.909148
335.0,738,2251.104416
350.0,817,2260.546329
1155.0,1161,2274.715786
545.0,801,2284.973436
450.0,1125,2298.211424
530.0,800,2307.345472
670.0,1269,2322.705185
345.0,806,2333.150516
495.0,1136,2346.072208
1135.0,1482,2364.698648
620.0,1073,2377.309154
300.0,724,2385.551213
575.0,1359,2401.595482
620.0,1106,2415.427808
525.0,1210,2429.263739
500.0,1135,2442.8288
330.0,729,2451.634819
285.0,700,2459.448297
670.0,1166,2473.269242
590.0,1056,2486.08916
345.0,796,2496.308743
355.0,831,2506.003917
395.0,1214,2520.693051
425.0,1087,2534.423805
420.0,1059,2547.453713
585.0,1256,2563.123809
470.0,1115,2576.486704
775.0,1400,2593.594309
420.0,1068,2606.900163
390.0,1075,2619.781014
670.0,1256,2634.806775
