r,l,t
110.0,491,41.131336
105.0,428,43.918462
80.0,363,46.310034
50.0,485,49.15788
90.0,378,51.609513
110.0,503,54.687608
140.0,445,57.438811
160.0,507,60.803073
520.0,896,66.578482
165.0,588,70.234523
75.0,476,73.324287
80.0,433,76.03833
90.0,535,101.434054
75.0,307,105.023958
155.0,491,111.314599
170.0,722,120.758441
30.0,374,124.712067
120.0,462,131.024457
210.0,537,137.453079
280.0,685,145.206563
50.0,444,151.183587
45.0,293,154.614824
20.0,367,159.447625
80.0,374,164.007214
110.0,481,169.60584
130.0,471,175.76078
90.0,289,179.007322
100.0,444,184.893689
610.0,1117,197.964636
180.0,615,205.424917
330.0,803,215.53257
180.0,604,223.148318
210.0,630,231.091841
410.0,649,239.091394
180.0,618,247.043856
180.0,617,254.440035
210.0,620,262.387684
210.0,618,269.893314
315.0,808,279.9561
210.0,625,287.738525
180.0,631,295.563292
210.0,613,302.476178
410.0,631,309.997952
240.0,712,318.994032
180.0,643,326.517523
210.0,636,334.215329
80.0,308,337.609599
180.0,599,345.44635
210.0,622,352.616013
210.0,602,360.200043
210.0,628,368.091859
285.0,726,377.605342
210.0,643,385.65013
180.0,636,393.037046
410.0,621,400.941109
380.0,627,408.872358
210.0,639,416.934176
180.0,603,424.640868
180.0,656,432.681463
105.0,487,438.027958
155.0,613,445.678762
270.0,726,454.700364
210.0,715,463.346113
180.0,656,471.492003
520.0,1070,484.96841
210.0,645,493.012194
355.0,587,499.674259
510.0,1046,512.151918
210.0,637,519.694955
270.0,735,528.970585
210.0,634,536.885551
210.0,641,544.952813
380.0,650,552.616708
210.0,634,559.98213
380.0,621,566.743631
380.0,619,574.485835
155.0,601,581.981646
210.0,601,588.828665
210.0,634,596.300364
285.0,729,605.193905
210.0,617,612.856036
650.0,1298,628.600375
210.0,643,636.368826
180.0,596,643.071229
210.0,621,651.072063
210.0,615,658.700294
155.0,601,666.160133
260.0,731,674.669206
135.0,597,682.328208
380.0,674,690.640079
210.0,610,698.154382
260.0,739,706.26016
210.0,618,714.060249
210.0,612,721.582446
475.0,748,731.0446
135.0,570,737.858139
210.0,632,745.312839
320.0,575,751.991431
280.0,753,761.401795
410.0,643,769.191321
155.0,600,776.642152
380.0,607,783.687578
290.0,729,792.573998
410.0,649,800.719331
500.0,802,810.40208
260.0,736,819.816276
210.0,640,827.697133
80.0,309,831.270249
420.0,1174,845.470113
290.0,724,854.485822
470.0,745,864.272013
410.0,671,872.207977
210.0,615,879.903182
265.0,742,888.627604
485.0,726,897.852258
210.0,607,905.714416
155.0,601,912.570206
210.0,592,919.971617
210.0,626,927.672525
260.0,741,935.740814
460.0,750,945.133382
120.0,572,952.422313
520.0,816,962.424602
460.0,747,971.826557
240.0,743,980.361973
320.0,803,990.456891
470.0,739,999.071159
210.0,643,1006.977089
260.0,728,1016.473951
410.0,606,1024.031147
380.0,608,1031.068683
425.0,1290,1046.864533
210.0,647,1054.951952
260.0,722,1064.076694
210.0,615,1072.128997
210.0,648,1080.077524
330.0,1061,1093.059862
80.0,309,1096.519497
135.0,555,1103.19818
565.0,1109,1117.399954
500.0,737,1126.49002
210.0,614,1134.218886
365.0,1102,1147.382795
290.0,725,1156.74634
210.0,614,1163.871966
410.0,637,1172.000681
320.0,742,1181.335897
365.0,1084,1194.671768
315.0,821,1205.362397
595.0,1095,1218.693458
390.0,1101,1232.551026
490.0,838,1242.660567
420.0,1087,1256.660366
325.0,800,1266.302243
210.0,633,1274.246039
365.0,1079,1287.02678
390.0,1075,1300.831585
345.0,1051,1313.400603
320.0,793,1323.134042
300.0,808,1332.947255
420.0,1083,1345.638107
345.0,802,1356.015412
345.0,1202,1370.947319
515.0,822,1380.6824
515.0,738,1389.625462
300.0,795,1399.283771
590.0,1073,1413.112252
515.0,1217,1427.502347
500.0,799,1437.126759
260.0,727,1446.254249
315.0,737,1454.625726
260.0,715,1463.598193
290.0,709,1471.963677
670.0,1125,1485.951119
620.0,1068,1498.872916
305.0,725,1508.007058
285.0,711,1517.067885
300.0,732,1525.214731
285.0,712,1534.152193
650.0,1262,1549.592305
620.0,1102,1561.916828
460.0,741,1571.228586
285.0,704,1579.334677
420.0,1048,1591.787879
345.0,789,1601.227103
625.0,1107,1614.911302
345.0,818,1624.913027
290.0,721,1634.096389
260.0,720,1642.547043
345.0,794,1652.919907
285.0,720,1661.178268
820.0,1076,1674.77182
410.0,625,1681.717618
390.0,1069,1695.488969
390.0,1087,1708.345798
390.0,1074,1721.098221
260.0,719,1729.924883
285.0,713,1738.297049
300.0,734,1747.480776
210.0,611,1755.077343
370.0,813,1764.848526
285.0,727,1774.079555
300.0,740,1782.72643
620.0,1094,1795.884236
635.0,1107,1809.330732
345.0,755,1817.849527
635.0,1270,1833.670667
345.0,800,1843.137628
320.0,801,1853.639266
305.0,724,1861.55476
620.0,1082,1875.464843
820.0,1130,1888.676832
285.0,702,1897.406734
420.0,1192,1911.697042
350.0,800,1921.25562
670.0,1218,1936.057351
305.0,730,1944.208244
365.0,772,1953.527373
620.0,1080,1966.981469
670.0,1137,1980.68267
345.0,793,1990.128957
285.0,707,1998.498173
290.0,752,2007.906775
285.0,707,2016.389887
280.0,732,2025.55058
475.0,1101,2039.368759
590.0,1085,2052.00048
470.0,1267,2067.142881
1070.0,1130,2081.22121
670.0,1156,2095.193681
595.0,1416,2112.669125
470.0,1279,2128.469235
470.0,1114,2141.374838
320.0,807,2150.957228
545.0,764,2160.141845
315.0,744,2169.301272
395.0,1155,2183.143476
260.0,722,2192.138932
575.0,1535,2210.636104
420.0,1073,2222.733031
420.0,1105,2235.708537
305.0,706,2244.815576
390.0,1076,2257.437546
210.0,625,2265.172837
440.0,1170,2279.104739
725.0,1141,2293.199509
470.0,1135,2306.720605
315.0,717,2315.25281
305.0,726,2323.984947
450.0,1092,2337.059965
525.0,1127,2350.764848
990.0,1068,2363.615739
435.0,1062,2376.816916
1085.0,1517,2393.732919
285.0,698,2402.772293
465.0,1110,2415.893132
725.0,1161,2429.399583
670.0,1089,2442.631022
330.0,732,2451.412171
655.0,1115,2464.169866
620.0,1283,2479.63484
435.0,1082,2493.138266
640.0,1110,2506.150496
450.0,1096,2520.035863
475.0,1254,2534.926741
695.0,1099,2548.918497
695.0,1097,2561.946581
820.0,1079,2575.807332
320.0,737,2584.455194
435.0,1097,2597.847019
390.0,1055,2610.56578
435.0,1115,2624.440916
260.0,658,2632.063158
590.0,1069,2644.439969
650.0,1112,2658.152202
525.0,1176,2672.104399
630.0,1473,2689.412969
260.0,733,2698.441534
900.0,1619,2718.061161
285.0,738,2726.760209
620.0,1075,2740.478917
635.0,1148,2753.94257
440.0,1128,2766.751498
545.0,768,2775.612156
495.0,1102,2789.078031
305.0,723,2797.280956
285.0,690,2805.868908
215.0,664,2813.701613
300.0,713,2821.982856
290.0,714,2830.753021
660.0,1095,2843.713354
345.0,748,2852.373047
620.0,1056,2864.796663
305.0,715,2873.884726
775.0,1262,2889.31447
315.0,762,2898.636039
785.0,1452,2915.926281
725.0,1091,2928.355955
755.0,1349,2944.52498
745.0,1388,2961.340123
820.0,1095,2973.591591
700.0,1129,2987.312126
330.0,1020,2999.569972
