r,l,t
185.0,645,15.474061
50.0,400,22.819785
115.0,411,28.195929
85.0,319,32.21366
55.0,286,36.473783
155.0,595,45.915661
255.0,733,57.2446
380.0,622,65.548319
105.0,477,72.647051
440.0,711,82.496102
180.0,586,91.308237
210.0,716,101.697727
210.0,650,111.047295
380.0,614,119.222462
210.0,641,128.348628
155.0,599,137.308205
180.0,617,146.37348
445.0,727,156.58448
155.0,634,165.887551
210.0,634,175.256127
210.0,627,184.410393
380.0,644,193.85494
180.0,654,203.414139
240.0,744,214.15775
180.0,645,223.400428
225.0,732,233.274798
180.0,632,242.456755
180.0,654,251.851312
180.0,603,260.865063
285.0,727,270.967036
180.0,655,280.145472
210.0,635,289.300694
240.0,727,300.170843
270.0,737,311.210365
180.0,655,320.592298
210.0,634,329.982216
210.0,640,339.518366
210.0,640,348.699486
210.0,654,358.24342
260.0,780,369.420158
210.0,626,377.868356
355.0,588,386.957602
155.0,631,396.111283
310.0,816,407.644333
180.0,642,416.461491
180.0,654,425.793673
260.0,733,436.728846
155.0,601,445.070521
180.0,602,454.272854
260.0,724,465.659309
210.0,640,474.966848
440.0,733,485.098683
210.0,642,494.736744
260.0,747,506.077391
230.0,720,517.061672
285.0,728,526.817368
260.0,736,537.951322
565.0,1094,554.083247
210.0,635,563.620352
420.0,1193,581.675131
180.0,646,590.175682
410.0,640,599.409266
110.0,504,606.940605
210.0,602,616.087442
460.0,738,627.506495
440.0,719,637.628217
335.0,798,648.933378
590.0,1121,665.97852
210.0,626,675.326033
225.0,826,686.915625
260.0,750,698.071721
180.0,641,707.534032
210.0,646,717.110091
580.0,1119,733.836353
50.0,295,737.994297
410.0,654,747.749615
260.0,729,759.230929
225.0,707,769.196688
465.0,743,780.361024
310.0,674,789.965429
485.0,728,801.295636
180.0,640,810.932744
300.0,827,822.730974
210.0,632,832.431345
285.0,726,842.837735
260.0,732,854.127071
285.0,760,865.625226
320.0,822,877.452805
410.0,622,886.833081
210.0,648,896.545768
280.0,720,907.807728
330.0,1070,923.279442
565.0,1168,940.694109
210.0,637,950.26071
330.0,1063,965.588037
210.0,609,974.707579
530.0,772,986.361392
260.0,725,996.900908
330.0,1062,1012.935807
285.0,713,1023.077272
530.0,1070,1039.145521
180.0,604,1047.717352
120.0,479,1054.875006
290.0,727,1065.172657
260.0,735,1076.112515
285.0,728,1087.505121
230.0,812,1099.39879
330.0,845,1112.346707
415.0,634,1121.718492
405.0,1285,1139.530156
285.0,724,1150.275036
315.0,824,1162.120663
210.0,610,1171.118528
210.0,637,1180.614227
295.0,829,1192.392797
485.0,729,1203.256677
320.0,1038,1218.650535
410.0,623,1227.667616
460.0,716,1237.770802
260.0,747,1249.126204
280.0,757,1260.31826
265.0,766,1271.924275
465.0,1298,1291.090589
350.0,1066,1306.626535
365.0,1057,1323.191483
625.0,1178,1340.687233
215.0,614,1349.047661
210.0,615,1358.811193
210.0,622,1368.398373
410.0,598,1377.975389
415.0,649,1387.499157
255.0,690,1397.362912
590.0,1064,1412.826715
270.0,756,1424.200207
630.0,1116,1441.131882
390.0,1041,1456.059535
230.0,640,1465.829908
465.0,716,1475.697755
560.0,1075,1492.419701
610.0,1266,1510.250883
260.0,725,1521.514377
565.0,1079,1537.193477
115.0,553,1545.656335
595.0,1058,1561.097769
335.0,512,1568.694048
545.0,1076,1584.388572
575.0,1213,1602.42109
535.0,973,1616.128676
325.0,1003,1631.077649
665.0,1247,1649.768045
325.0,1062,1665.406503
615.0,1528,1687.911374
375.0,1149,1704.775005
380.0,1009,1719.451374
465.0,749,1730.764412
215.0,634,1740.431819
230.0,749,1751.889602
835.0,1231,1769.649257
225.0,663,1779.767506
425.0,1249,1798.174247
425.0,680,1808.830931
510.0,956,1822.574235
295.0,706,1832.993163
635.0,1002,1847.961402
515.0,711,1859.215383
315.0,844,1871.098395
360.0,814,1883.621053
515.0,834,1895.658715
290.0,1062,1911.287343
415.0,1061,1928.350196
435.0,1015,1942.857863
195.0,590,1951.938591
315.0,796,1963.261165
330.0,1008,1978.357253
285.0,569,1986.68661
435.0,1060,2003.053813
590.0,1125,2018.906649
545.0,1043,2034.4432
440.0,646,2043.829589
605.0,1022,2058.566792
550.0,1084,2075.118697
490.0,665,2084.526815
670.0,1036,2099.849616
605.0,1170,2117.334194
525.0,1037,2133.001489
700.0,1093,2150.203232
805.0,1465,2171.413039
885.0,1009,2186.541239
495.0,896,2200.011662
390.0,634,2209.578608
775.0,1626,2233.238119
405.0,922,2247.04686
405.0,1124,2263.937916
620.0,1112,2280.747237
640.0,1152,2297.885355
260.0,654,2307.674165
345.0,884,2320.733892
590.0,1127,2336.409986
585.0,890,2349.469881
435.0,1027,2364.772875
890.0,1236,2383.604894
135.0,409,2389.596363
735.0,1592,2413.089837
570.0,914,2426.479538
210.0,498,2433.712875
485.0,702,2444.645037
530.0,1095,2460.202974
205.0,499,2467.757744
405.0,701,2478.071716
410.0,973,2492.555483
260.0,764,2503.84081
345.0,806,2515.550841
545.0,1156,2532.621127
615.0,1116,2549.040508
1030.0,1426,2570.09707
450.0,1117,2586.096592
