r,l,t
80.0,373,11.868021
150.0,463,19.363817
55.0,440,25.330359
145.0,520,32.408539
110.0,467,39.974744
180.0,660,50.004556
135.0,600,59.154762
380.0,596,67.201687
135.0,591,75.914835
180.0,618,84.355095
180.0,657,94.331337
180.0,638,102.654487
145.0,590,111.596511
180.0,654,120.905912
210.0,637,129.808596
180.0,656,139.390273
210.0,649,148.681979
285.0,1408,169.523482
245.0,816,181.353127
180.0,633,190.605021
180.0,623,199.983396
210.0,625,208.900293
155.0,653,218.209133
155.0,621,227.172892
180.0,626,235.428901
180.0,655,245.442598
260.0,736,255.751666
485.0,1013,270.446345
180.0,664,279.812434
180.0,606,288.805528
180.0,656,298.082601
180.0,608,307.270995
180.0,635,316.595512
210.0,629,325.039853
180.0,658,334.638166
180.0,620,343.842547
465.0,754,354.893417
285.0,725,365.878511
240.0,751,376.104416
380.0,646,385.577602
180.0,619,394.526104
260.0,732,405.594954
180.0,655,414.532137
240.0,715,424.312074
185.0,629,433.461265
210.0,633,442.67171
270.0,725,453.966514
285.0,731,464.462432
345.0,812,476.983394
210.0,658,486.537206
660.0,1439,507.940536
260.0,731,519.042054
285.0,1032,533.753882
330.0,1076,549.688865
290.0,727,560.671357
260.0,732,571.107758
460.0,726,581.947713
240.0,711,591.881705
180.0,668,601.996958
75.0,300,606.299225
180.0,665,616.018044
730.0,1081,631.89198
305.0,1049,647.070575
330.0,799,659.899331
210.0,645,669.118793
185.0,596,677.562637
210.0,666,686.960788
105.0,488,694.279361
300.0,833,706.920926
155.0,602,715.271751
180.0,654,724.722896
210.0,603,734.060462
260.0,737,745.362802
155.0,602,753.673318
210.0,630,763.513573
395.0,873,776.583975
240.0,743,787.527131
520.0,1036,803.218598
110.0,516,810.845435
435.0,1125,826.887431
390.0,1180,844.618883
210.0,632,854.317607
565.0,1113,871.384984
550.0,1130,888.398411
410.0,601,896.686295
350.0,1055,913.122752
335.0,1076,928.733718
290.0,727,939.131564
730.0,1053,955.11066
320.0,1063,970.845692
210.0,673,980.668666
135.0,522,988.490374
210.0,615,997.8639
390.0,1105,1013.479508
280.0,758,1024.904939
300.0,829,1037.542439
210.0,615,1045.967898
260.0,734,1056.967791
565.0,1215,1075.376286
105.0,535,1083.59815
180.0,627,1092.182286
210.0,613,1101.386391
355.0,1106,1118.126206
375.0,1174,1135.278501
410.0,662,1144.838207
795.0,1201,1161.880138
345.0,1100,1178.307662
285.0,731,1189.430974
210.0,655,1199.090971
825.0,1252,1216.842131
620.0,1289,1235.340396
210.0,613,1244.967554
365.0,1122,1261.892766
350.0,1085,1277.70308
210.0,619,1286.947654
560.0,1076,1302.486515
520.0,1062,1319.211298
215.0,758,1329.457526
245.0,975,1344.598837
285.0,721,1355.087967
330.0,1075,1372.24001
565.0,1079,1388.096073
260.0,727,1399.128312
565.0,1026,1414.174159
225.0,608,1422.699359
810.0,1082,1439.448368
80.0,272,1443.258117
520.0,1088,1458.484337
605.0,1071,1475.062382
385.0,1109,1490.968916
445.0,1284,1510.006085
580.0,1085,1526.754755
725.0,1201,1544.05009
595.0,1176,1561.330277
150.0,471,1568.473605
540.0,1098,1584.449449
590.0,1091,1600.669435
155.0,605,1608.865929
395.0,1179,1625.939769
515.0,1067,1642.247179
575.0,1064,1657.902586
590.0,1048,1673.099378
715.0,1286,1692.222416
1075.0,1093,1708.639525
385.0,1161,1726.095606
435.0,1086,1742.287943
465.0,1247,1761.192945
970.0,1165,1778.101975
645.0,1291,1797.504846
365.0,1061,1813.004551
665.0,1159,1830.606908
355.0,949,1844.436807
15.0,231,1847.858932
320.0,882,1861.374784
330.0,1098,1877.774752
515.0,799,1889.595582
485.0,709,1899.779545
765.0,926,1913.380817
285.0,657,1923.461826
500.0,695,1934.320422
770.0,1082,1950.321714
875.0,1518,1972.683192
240.0,494,1980.183273
160.0,410,1986.248232
570.0,886,1999.669047
230.0,522,2007.455256
545.0,706,2017.057421
375.0,891,2030.032979
365.0,832,2042.940948
365.0,1084,2058.046558
270.0,808,2069.918658
365.0,1047,2085.11689
650.0,967,2099.766422
125.0,553,2107.82093
530.0,1010,2123.037309
115.0,318,2127.345018
215.0,591,2136.813544
520.0,840,2148.920215
505.0,1372,2169.630682
780.0,1206,2187.21072
520.0,860,2200.256416
465.0,717,2211.46071
660.0,935,2225.041441
590.0,873,2238.322582
450.0,893,2251.816226
545.0,1568,2275.026541
430.0,1195,2292.352744
535.0,1440,2313.640707
210.0,407,2319.439418
450.0,974,2334.131337
240.0,516,2341.545876
425.0,1021,2356.744087
320.0,801,2368.382848
470.0,1096,2384.293366
635.0,1080,2400.980137
520.0,875,2414.109781
290.0,743,2424.516948
350.0,633,2433.710757
840.0,1038,2449.29441
190.0,479,2456.430581
545.0,784,2467.806832
735.0,952,2481.910001
170.0,481,2488.998394
640.0,1101,2505.659288
425.0,1123,2522.684251
755.0,1685,2546.980914
405.0,1112,2562.874098
480.0,1030,2578.02587
460.0,1088,2594.874732
640.0,1087,2610.054203
670.0,1230,2628.880874
705.0,1092,2644.878311
615.0,1055,2660.475442
290.0,688,2671.497139
155.0,361,2676.089993
385.0,701,2686.980684
360.0,806,2698.808128
470.0,1114,2715.722259
565.0,1095,2731.306994
665.0,1545,2754.515758
520.0,937,2768.118382
370.0,931,2782.848251
895.0,947,2796.870861
525.0,974,2811.745645
345.0,873,2824.360941
935.0,1255,2843.600459
810.0,1173,2861.086457
795.0,1089,2878.34636
285.0,734,2888.543354
420.0,979,2902.974178
515.0,1048,2918.375927
635.0,983,2933.029551
260.0,623,2942.406432
680.0,1167,2959.471419
500.0,1025,2975.13967
370.0,781,2986.66365
800.0,1268,3004.348039
245.0,821,3016.775753
435.0,917,3029.933908
340.0,669,3039.623227
835.0,1354,3060.612343
175.0,365,3065.246622
230.0,537,3073.945076
405.0,666,3083.241274
800.0,1562,3106.592392
260.0,690,3116.318055
470.0,1084,3132.632502
365.0,842,3144.436181
885.0,858,3157.955518
540.0,826,3169.714192
315.0,663,3179.370296
525.0,1045,3194.693853
670.0,903,3208.234759
600.0,1167,3225.851491
315.0,716,3236.709669
1000.0,2086,3268.025016
785.0,966,3282.725331
310.0,719,3292.884987
680.0,1003,3307.63431
355.0,902,3320.997888
295.0,663,3330.491198
525.0,723,3341.326468
330.0,721,3351.665245
360.0,677,3361.78553
495.0,1205,3380.455297
595.0,781,3392.013623
585.0,1363,3413.11547
555.0,1244,3430.865561
525.0,974,3445.561533
325.0,799,3457.275053
415.0,794,3469.149401
505.0,662,3478.80973
585.0,1173,3496.229791
425.0,656,3505.518779
575.0,1542,3528.387424
265.0,676,3538.937709
805.0,1148,3554.70222
785.0,1079,3571.970226
410.0,854,3583.854487
470.0,1010,3598.229919
360.0,746,3609.779394
300.0,766,3621.229451
385.0,625,3630.203364
1015.0,1689,3654.842438
505.0,1141,3672.35406
1030.0,1751,3698.331373
395.0,805,3711.147697
575.0,1372,3730.620278
370.0,674,3741.476999
185.0,493,3748.068401
390.0,739,3759.185148
665.0,935,3772.725738
805.0,1333,3793.150957
395.0,577,3801.312651
355.0,588,3810.177954
1040.0,1542,3833.249125
480.0,1133,3849.730268
550.0,1154,3866.621853
285.0,515,3874.253902
300.0,656,3884.05501
290.0,725,3894.975849
490.0,1204,3912.633459
605.0,1008,3927.245983
550.0,620,3936.534329
275.0,567,3944.806794
810.0,979,3959.53915
600.0,1188,3976.965332
340.0,653,3986.905754
785.0,1095,4003.667379
470.0,831,4015.330938
575.0,1338,4035.136543
635.0,862,4047.701424
390.0,655,4057.331564
805.0,1275,4076.173122
585.0,1068,4091.756724
175.0,412,4098.764901
270.0,514,4106.257855
625.0,855,4118.581114
575.0,1188,4136.171127
475.0,666,4146.553528
375.0,542,4154.598001
475.0,786,4166.138881
550.0,636,4175.4544
330.0,626,4184.989687
395.0,649,4194.28284
740.0,1543,4217.268856
525.0,609,4225.697484
775.0,989,4240.406927
305.0,665,4249.932498
610.0,1037,4265.315225
485.0,876,4278.412586
610.0,1281,4297.469581
755.0,1303,4316.885634
895.0,1646,4341.525835
800.0,1205,4358.638978
620.0,915,4372.084896
425.0,972,4386.887736
605.0,1030,4402.424518
620.0,884,4415.356566
345.0,554,4423.311798
840.0,1444,4444.859817
350.0,640,4454.023757
380.0,595,4463.323405
655.0,1449,4484.962317
605.0,1171,4501.89689
650.0,1062,4517.340421
480.0,769,4528.598628
380.0,579,4537.82965
495.0,652,4547.401923
375.0,565,4555.436793
300.0,559,4564.602394
350.0,612,4572.713443
640.0,1269,4592.180414
405.0,749,4603.338496
570.0,1233,4621.093727
570.0,1112,4637.252011
440.0,801,4648.646982
760.0,1017,4663.747673
265.0,477,4670.818538
495.0,719,4680.794574
235.0,428,4687.295086
805.0,1119,4703.360456
600.0,1137,4720.140971
370.0,651,4729.839224
440.0,821,4742.62707
760.0,945,4756.441528
665.0,1369,4777.256202
610.0,974,4791.135509
405.0,788,4802.722159
470.0,803,4814.325076
385.0,735,4825.348302
405.0,794,4836.846674
475.0,720,4848.008846
500.0,756,4859.512797
255.0,516,4867.188102
580.0,606,4875.415438
335.0,636,4884.946576
575.0,1098,4901.442009
600.0,1117,4917.522669
395.0,718,4928.367726
495.0,711,4938.945923
415.0,758,4949.372914
465.0,717,4959.975211
320.0,602,4969.43146
465.0,735,4979.776163
460.0,799,4991.524978
600.0,1115,5008.052938
495.0,928,5021.667433
440.0,753,5033.194488
640.0,806,5045.007991
540.0,991,5059.671115
240.0,420,5065.741171
500.0,841,5078.657055
320.0,533,5086.44522
320.0,668,5096.304444
285.0,521,5104.146738
315.0,811,5115.71168
420.0,649,5125.163459
280.0,513,5132.600068
580.0,931,5147.160605
