r,l,t
135.0,572,14.88722
245.0,659,24.974513
55.0,548,32.275856
110.0,375,38.171722
180.0,620,47.899412
120.0,590,56.32504
410.0,625,65.375352
110.0,521,72.820914
135.0,590,81.561602
105.0,500,88.963744
110.0,484,95.144902
210.0,629,104.335396
410.0,630,113.483185
210.0,622,122.515165
135.0,600,130.477123
240.0,724,141.21083
410.0,643,150.512309
155.0,632,159.947678
380.0,624,169.002054
210.0,638,178.492192
210.0,629,187.132085
180.0,660,197.445935
155.0,607,205.772407
180.0,632,214.864281
180.0,660,224.159615
270.0,722,234.636711
240.0,724,244.613442
180.0,658,254.061289
210.0,627,263.524753
260.0,755,274.268356
180.0,619,283.340538
260.0,750,294.039472
240.0,739,304.21364
320.0,808,316.825088
210.0,636,326.105051
270.0,726,336.394434
270.0,747,347.2249
210.0,635,356.562906
180.0,596,364.640646
210.0,635,373.984855
265.0,735,385.096017
210.0,636,394.221575
180.0,628,403.579993
180.0,655,412.779579
180.0,639,421.681325
180.0,618,430.879442
185.0,599,438.933322
260.0,742,450.068856
240.0,817,462.302044
350.0,1206,480.605786
240.0,807,492.422391
210.0,631,501.973016
155.0,610,510.307356
285.0,754,521.542096
260.0,735,532.056903
545.0,1101,548.066693
460.0,741,559.558537
210.0,647,569.149522
155.0,599,578.170729
410.0,642,587.446955
210.0,640,596.755455
300.0,833,608.744892
180.0,656,618.311219
210.0,643,627.915808
290.0,750,639.144138
460.0,726,650.013577
185.0,604,658.447603
195.0,736,669.586702
225.0,711,679.60787
460.0,742,690.516641
345.0,1110,707.128873
210.0,624,716.664958
210.0,600,724.643935
490.0,723,735.760994
180.0,648,745.568985
210.0,613,753.954414
475.0,768,765.968273
215.0,663,776.233645
515.0,1059,791.602588
155.0,595,800.069328
210.0,604,809.243281
270.0,724,820.417763
275.0,741,830.770265
460.0,727,842.101857
485.0,707,852.350615
210.0,639,861.913069
580.0,1137,879.052528
210.0,635,888.676299
210.0,628,898.256098
540.0,1057,913.758657
410.0,616,922.930968
435.0,1289,942.317924
85.0,384,948.040556
595.0,1163,965.061465
320.0,828,977.006683
260.0,720,988.192498
520.0,1063,1003.636118
520.0,816,1015.385667
300.0,840,1028.212703
135.0,477,1034.582288
535.0,1068,1050.994408
155.0,606,1059.429411
210.0,624,1068.653483
210.0,610,1077.819274
575.0,1091,1094.012365
365.0,1112,1110.723952
380.0,609,1119.925388
350.0,994,1133.817798
210.0,613,1143.013314
410.0,646,1152.174309
545.0,1071,1167.740267
180.0,604,1176.744269
185.0,598,1185.705164
210.0,624,1195.300616
380.0,1173,1212.284542
160.0,538,1219.965722
680.0,1159,1236.882164
780.0,1076,1252.59149
395.0,1190,1270.311876
290.0,728,1281.139923
345.0,1080,1297.010117
410.0,1144,1313.856476
260.0,731,1325.330446
315.0,1067,1340.992583
490.0,1069,1357.027464
325.0,1096,1374.334037
320.0,1147,1391.544557
215.0,632,1400.767634
335.0,1150,1417.797534
100.0,322,1422.312049
580.0,1098,1439.118531
380.0,1070,1454.335934
275.0,760,1465.862259
370.0,781,1477.072099
620.0,1174,1494.554931
565.0,1199,1511.833667
780.0,1094,1528.652711
340.0,781,1540.096925
620.0,1115,1555.853109
130.0,495,1563.624412
345.0,985,1578.187679
495.0,1210,1595.675211
290.0,1064,1610.902855
215.0,643,1620.188711
215.0,608,1629.339514
260.0,723,1640.309228
410.0,1134,1657.275192
405.0,1116,1673.162082
765.0,1077,1689.63331
365.0,1059,1704.870248
515.0,1079,1720.992462
285.0,710,1731.702348
445.0,1166,1749.263721
310.0,772,1760.968872
260.0,726,1771.210049
105.0,377,1776.630492
590.0,1095,1793.276769
315.0,987,1807.366696
345.0,925,1821.020003
605.0,998,1836.416798
215.0,655,1845.879848
290.0,716,1857.274061
500.0,688,1866.968511
555.0,1100,1883.646465
340.0,772,1895.214665
560.0,1073,1910.894564
530.0,966,1925.341315
505.0,1539,1948.457714
325.0,623,1957.764661
300.0,731,1968.643569
260.0,624,1977.947262
515.0,596,1986.484444
550.0,1062,2002.037761
420.0,973,2016.702262
315.0,599,2025.660525
185.0,566,2033.839221
285.0,758,2044.944486
535.0,895,2057.771013
150.0,506,2065.389694
650.0,1053,2080.808349
550.0,1096,2096.316556
345.0,977,2111.403038
320.0,674,2121.173852
760.0,1107,2138.533053
285.0,1020,2154.031212
390.0,905,2167.228338
750.0,1516,2189.018402
350.0,1064,2205.647636
