r,l,t
75.0,299,11.295291
145.0,381,16.574838
165.0,694,26.831692
105.0,417,32.420892
55.0,422,38.612602
160.0,586,48.135755
110.0,481,55.486513
155.0,608,63.930553
120.0,590,72.592282
155.0,610,81.449739
385.0,648,90.845944
355.0,610,98.888069
110.0,494,106.221781
410.0,610,115.063631
155.0,599,123.271414
180.0,610,131.94274
180.0,638,141.288383
180.0,642,150.556501
240.0,719,161.703256
180.0,615,169.98472
180.0,655,179.566106
180.0,660,189.067274
180.0,667,199.519906
180.0,632,207.946217
155.0,606,216.812249
155.0,612,225.621596
180.0,630,234.597323
260.0,729,244.63907
250.0,819,256.932544
240.0,724,267.31617
275.0,822,279.258893
180.0,623,287.562988
260.0,741,298.439906
180.0,639,307.878398
165.0,602,317.030924
180.0,664,326.610292
180.0,626,336.064728
180.0,614,344.155711
180.0,659,354.332861
260.0,729,364.438809
245.0,715,375.443548
210.0,610,383.518511
260.0,735,394.445921
155.0,597,403.47346
180.0,609,411.602206
265.0,732,421.963015
180.0,645,431.386768
210.0,635,440.571099
300.0,810,452.436935
260.0,723,463.84687
185.0,599,472.098486
380.0,618,481.223615
180.0,625,490.678655
420.0,731,501.967813
460.0,735,512.280464
590.0,1081,528.137449
590.0,1176,545.652417
495.0,764,557.056893
180.0,604,565.697356
260.0,735,576.599523
225.0,819,588.236475
260.0,716,598.867716
180.0,629,608.333205
250.0,706,618.469432
155.0,605,627.751574
275.0,755,638.964311
210.0,639,648.315378
285.0,727,658.598077
180.0,641,668.133736
565.0,1115,684.624583
285.0,725,694.861755
210.0,636,704.154885
285.0,729,715.152394
460.0,726,726.158273
40.0,322,730.488807
315.0,982,745.563998
465.0,766,757.206351
460.0,729,767.608907
485.0,1416,788.244713
210.0,630,797.903911
210.0,627,807.349153
265.0,771,818.880021
210.0,616,828.209965
245.0,717,838.431817
335.0,805,850.409829
210.0,610,859.930792
365.0,1103,876.790932
460.0,1434,898.244205
545.0,1071,913.88607
565.0,1106,930.411067
110.0,491,937.263459
110.0,484,944.85684
460.0,751,955.695521
685.0,1020,970.883607
360.0,1101,986.957202
590.0,1108,1003.756205
110.0,493,1011.066814
180.0,587,1019.355951
365.0,1102,1036.040964
260.0,729,1046.11053
635.0,1173,1064.232727
290.0,831,1076.010418
505.0,837,1089.224585
210.0,613,1097.713994
390.0,1106,1114.479781
215.0,625,1123.829577
370.0,1062,1138.998833
590.0,1101,1154.557097
260.0,729,1165.47456
620.0,1300,1184.384578
260.0,744,1195.699695
555.0,1072,1210.952596
495.0,1185,1228.071241
560.0,1080,1244.796856
345.0,1063,1260.24008
215.0,641,1269.908547
570.0,1135,1286.871831
260.0,745,1298.184126
575.0,1209,1315.662718
210.0,622,1325.249822
285.0,767,1336.587146
515.0,1058,1352.464392
590.0,1115,1368.832077
595.0,1290,1388.430586
420.0,1058,1404.655517
320.0,830,1416.608082
155.0,483,1423.985863
110.0,278,1427.861938
470.0,716,1438.191673
515.0,822,1450.629471
305.0,768,1462.029094
330.0,833,1473.730262
640.0,1289,1492.996845
460.0,707,1504.012944
570.0,1073,1519.450342
745.0,1063,1534.887058
140.0,514,1542.514714
215.0,644,1551.692033
285.0,717,1562.938568
365.0,1168,1580.144272
460.0,705,1590.168656
345.0,809,1601.693077
260.0,720,1612.355435
315.0,1063,1627.714549
210.0,652,1637.387601
360.0,1084,1653.768889
935.0,1290,1672.667271
365.0,1025,1687.891999
330.0,1056,1703.178113
330.0,763,1714.803462
140.0,501,1722.314194
750.0,1093,1738.41276
950.0,1068,1754.277971
475.0,751,1765.500551
545.0,1124,1782.110134
355.0,1079,1798.103919
215.0,595,1807.135227
390.0,976,1821.166581
550.0,967,1836.266672
360.0,953,1849.994833
350.0,704,1861.203823
365.0,893,1874.299189
415.0,1063,1889.84705
375.0,1006,1904.970026
215.0,618,1913.596263
435.0,1143,1931.117735
595.0,1074,1947.667325
435.0,1075,1963.185549
695.0,1051,1978.591121
230.0,540,1986.69972
605.0,1318,2007.165424
315.0,723,2017.002626
635.0,1127,2033.858198
85.0,297,2038.003698
595.0,822,2050.289523
515.0,940,2063.763643
260.0,1155,2080.849547
360.0,991,2094.674985
750.0,922,2109.364243
335.0,998,2123.482793
440.0,987,2138.916758
650.0,1184,2156.625753
765.0,1054,2171.921462
420.0,1000,2186.911953
330.0,817,2198.703123
325.0,687,2209.725707
