r,l,t
205.0,830,19.413225
50.0,361,24.664688
60.0,285,28.342401
30.0,437,34.416742
335.0,607,43.917057
155.0,582,52.361513
110.0,570,61.218776
180.0,612,69.322075
355.0,627,78.512697
355.0,593,87.497275
105.0,487,94.402683
110.0,468,100.609985
155.0,613,109.639069
410.0,620,118.522281
155.0,596,126.511006
210.0,629,135.783356
180.0,658,145.090531
225.0,737,156.195038
185.0,612,165.263552
110.0,498,171.955726
185.0,612,181.254311
180.0,661,190.786296
210.0,623,200.16726
180.0,662,209.436762
180.0,654,218.752033
210.0,633,227.784357
180.0,622,236.758553
440.0,725,247.359484
260.0,740,257.710569
240.0,753,268.742305
180.0,655,277.857503
265.0,732,288.693685
240.0,740,299.558438
210.0,640,308.116038
180.0,616,317.384869
260.0,746,328.462437
180.0,662,338.211283
180.0,668,347.546894
210.0,632,356.80696
260.0,724,367.741138
180.0,660,377.304847
210.0,647,386.703768
180.0,627,395.833757
210.0,626,404.249512
180.0,617,413.22832
270.0,733,423.662942
460.0,737,434.721704
460.0,1434,455.876605
135.0,604,464.354881
290.0,831,477.10159
300.0,825,488.913568
210.0,650,498.572657
335.0,819,511.432467
520.0,811,522.779923
210.0,629,531.750429
210.0,608,540.235433
260.0,736,551.726264
295.0,770,563.351882
120.0,475,570.531963
180.0,636,579.84239
270.0,732,589.839584
210.0,621,598.946716
410.0,651,608.610043
180.0,642,618.010248
155.0,588,626.323468
465.0,1034,642.43498
315.0,816,654.201424
275.0,769,665.610151
545.0,823,677.503848
525.0,1063,692.81164
260.0,743,703.82222
330.0,1063,719.294163
180.0,602,728.43617
210.0,631,737.896954
110.0,491,745.471587
105.0,485,751.925683
210.0,636,761.778399
265.0,722,772.783279
310.0,825,784.399286
380.0,622,793.835858
360.0,578,802.250426
210.0,585,811.285289
460.0,722,822.3579
180.0,602,830.699976
260.0,712,841.946962
210.0,617,850.488745
315.0,829,863.538486
210.0,605,872.925921
210.0,620,881.199744
290.0,831,894.156076
210.0,644,903.937884
590.0,1102,919.651205
285.0,728,930.811726
135.0,490,938.31222
520.0,1063,953.614882
75.0,307,957.894241
460.0,738,969.020942
155.0,608,978.224365
55.0,301,982.461014
180.0,665,992.411364
210.0,675,1002.203837
210.0,642,1011.370579
210.0,674,1021.530036
110.0,561,1030.081909
210.0,619,1039.069118
135.0,288,1043.347234
330.0,808,1054.945921
210.0,611,1064.256299
215.0,631,1073.568681
210.0,647,1083.473768
415.0,1253,1101.476969
270.0,766,1112.815667
460.0,721,1123.930453
370.0,1193,1141.035658
215.0,707,1150.731397
520.0,1387,1171.199652
315.0,1063,1186.532484
180.0,596,1195.838402
210.0,604,1204.778234
345.0,1075,1220.432228
