r,l,t
60.0,405,10.359836
75.0,399,17.533167
105.0,525,27.08155
475.0,754,40.777657
110.0,492,49.159626
160.0,579,59.835911
180.0,616,71.046586
180.0,591,81.165085
135.0,585,92.142682
155.0,587,102.286675
180.0,599,113.189615
210.0,635,124.75581
210.0,626,135.486971
105.0,483,144.40501
180.0,627,155.767375
210.0,643,167.660428
260.0,729,181.587017
240.0,730,194.50482
260.0,731,207.831381
180.0,637,219.335897
260.0,724,231.951387
265.0,738,245.193282
240.0,730,258.902142
210.0,643,271.333269
210.0,627,282.85531
210.0,637,293.785543
210.0,641,305.194242
210.0,640,317.138817
210.0,647,328.907666
210.0,638,340.218281
180.0,624,351.868011
180.0,615,363.077998
180.0,601,373.638472
330.0,819,388.758679
180.0,623,400.074831
305.0,811,414.517147
265.0,737,428.279885
265.0,754,440.967218
260.0,730,454.175849
210.0,616,465.881884
210.0,650,477.965398
480.0,754,491.650696
210.0,611,502.093048
120.0,492,511.432284
355.0,593,523.288885
260.0,1023,542.135875
410.0,644,553.801831
80.0,301,558.963513
260.0,726,572.342653
155.0,594,583.906326
260.0,722,597.074797
410.0,649,609.014603
260.0,735,621.922878
120.0,486,631.031868
210.0,617,641.924744
210.0,642,653.418586
260.0,711,665.543737
50.0,297,670.577364
520.0,1066,690.732985
210.0,642,702.767623
410.0,615,713.314068
320.0,797,728.21194
410.0,624,738.753366
625.0,1186,760.804535
265.0,731,773.536603
110.0,269,778.268361
210.0,628,789.58645
180.0,614,800.946234
210.0,649,812.898684
80.0,312,818.396009
210.0,625,830.548642
210.0,607,841.791169
210.0,620,853.59666
110.0,326,859.121267
210.0,634,870.861959
210.0,639,882.219813
110.0,494,891.24999
105.0,286,896.156358
75.0,306,901.469931
105.0,292,906.410604
225.0,655,917.840625
210.0,626,929.15564
1005.0,1104,949.713689
105.0,297,954.658121
260.0,727,968.071859
50.0,260,972.936858
795.0,1099,993.15698
290.0,620,1004.551328
125.0,380,1011.226111
210.0,651,1023.015849
135.0,471,1031.610856
210.0,611,1041.99347
210.0,623,1053.513974
355.0,994,1071.778016
105.0,270,1076.60422
410.0,613,1088.036648
210.0,642,1098.808642
210.0,608,1110.219721
545.0,1069,1129.455323
215.0,609,1140.436521
210.0,599,1152.079026
520.0,759,1166.091182
200.0,596,1176.399017
240.0,725,1189.934239
65.0,276,1194.969819
185.0,571,1205.348277
225.0,635,1217.246288
290.0,784,1231.423472
290.0,719,1244.452264
380.0,604,1254.996787
285.0,774,1268.827056
210.0,627,1279.976324
370.0,727,1293.879218
80.0,419,1301.541338
330.0,809,1316.146027
830.0,1103,1336.297116
340.0,819,1350.948487
240.0,601,1361.758813
695.0,1126,1382.930919
340.0,691,1395.483413
265.0,729,1408.930441
320.0,730,1421.629276
215.0,633,1433.167365
170.0,514,1442.420252
330.0,729,1455.716125
620.0,1076,1475.200411
215.0,627,1487.153017
180.0,530,1496.572002
435.0,960,1513.663689
425.0,877,1529.819352
195.0,523,1539.2867
165.0,478,1548.162184
565.0,682,1560.214119
290.0,723,1573.509712
165.0,471,1581.436877
350.0,696,1594.416352
200.0,570,1604.751868
260.0,569,1615.82868
445.0,830,1630.42303
85.0,397,1637.468716
160.0,470,1646.220434
255.0,596,1656.59737
220.0,464,1665.057223
330.0,711,1677.287692
245.0,664,1689.037459
180.0,431,1697.754941
495.0,811,1712.711184
155.0,479,1721.337151
265.0,649,1733.098857
320.0,710,1745.56324
125.0,430,1753.061603
