r,l,t
120.0,504,11.545021
180.0,606,22.882214
75.0,468,31.568864
80.0,475,39.649816
225.0,724,52.953083
460.0,723,65.668562
285.0,1014,83.889066
155.0,611,95.096017
180.0,668,107.001648
270.0,739,120.309467
260.0,716,133.008939
210.0,628,144.493964
260.0,722,157.830342
155.0,610,169.476023
285.0,732,182.494012
260.0,724,196.061397
260.0,731,208.935121
285.0,720,221.923509
730.0,1070,240.853219
260.0,737,254.373998
155.0,602,266.110317
180.0,664,278.693666
210.0,643,290.21219
325.0,1066,309.41593
260.0,747,323.247059
210.0,641,334.668267
330.0,811,349.279091
410.0,621,360.562029
185.0,595,371.116089
180.0,599,382.11724
210.0,637,393.615898
240.0,725,406.928802
180.0,621,417.707519
285.0,729,431.019232
265.0,788,444.872941
180.0,636,456.317379
270.0,742,470.607442
380.0,637,482.260009
180.0,599,492.550495
440.0,719,506.032744
180.0,647,518.315909
210.0,615,529.122065
345.0,1101,549.625777
105.0,491,558.777786
155.0,586,569.415884
180.0,642,581.72332
270.0,747,595.252768
330.0,1067,614.71592
620.0,1100,635.002618
465.0,753,648.539531
260.0,746,661.104882
180.0,610,672.234387
260.0,720,685.586401
260.0,721,698.747978
410.0,652,710.652056
260.0,733,723.940105
265.0,742,737.506714
460.0,719,749.928231
180.0,622,761.287991
210.0,605,772.542467
260.0,722,784.967919
210.0,608,796.210881
515.0,1076,815.83353
210.0,663,828.507866
105.0,290,834.356483
50.0,300,839.511167
410.0,635,851.370032
260.0,727,864.446822
180.0,611,875.791182
260.0,719,888.828668
295.0,748,901.799244
415.0,643,913.206449
420.0,1167,934.055686
210.0,608,945.311248
460.0,726,958.61511
490.0,741,972.65012
210.0,661,984.957165
180.0,599,995.445974
180.0,626,1006.98962
30.0,300,1011.95444
235.0,692,1024.99974
415.0,630,1036.148344
210.0,587,1046.386088
260.0,727,1059.994198
210.0,604,1070.241318
75.0,274,1075.134145
125.0,481,1084.085304
480.0,766,1098.042062
260.0,727,1111.786662
105.0,345,1117.447797
280.0,759,1131.121145
270.0,724,1144.686076
210.0,643,1156.802118
375.0,823,1171.447908
160.0,487,1180.365359
180.0,605,1190.772176
345.0,1034,1211.066739
125.0,430,1218.725165
140.0,501,1227.890969
120.0,471,1236.044799
210.0,608,1246.923647
465.0,741,1260.503872
290.0,707,1272.70123
130.0,393,1279.639213
120.0,492,1288.984586
210.0,492,1298.445255
210.0,640,1310.155827
285.0,713,1322.872282
165.0,489,1331.502108
460.0,723,1344.839933
490.0,790,1358.882275
395.0,818,1373.444158
225.0,600,1385.232527
260.0,718,1397.981518
140.0,337,1404.170334
565.0,1085,1423.650561
140.0,496,1432.677418
165.0,488,1441.626321
285.0,751,1454.444028
185.0,546,1464.979497
420.0,845,1480.25405
545.0,721,1493.632651
345.0,640,1505.240976
135.0,566,1515.167345
120.0,384,1522.201267
250.0,537,1531.985776
255.0,613,1543.323706
245.0,556,1553.063405
240.0,699,1566.091146
75.0,262,1570.579904
295.0,551,1580.141897
310.0,648,1591.947872
240.0,598,1602.601339
525.0,626,1614.471656
140.0,472,1623.208426
190.0,489,1632.045902
290.0,679,1644.11721
65.0,261,1648.841912
225.0,642,1660.488802
90.0,290,1665.426192
320.0,797,1679.240564
255.0,579,1690.20156
690.0,1081,1710.258854
335.0,805,1724.798163
165.0,472,1733.299693
275.0,677,1745.367187
185.0,566,1755.370721
255.0,582,1766.237626
215.0,499,1775.349842
245.0,525,1784.983993
440.0,604,1795.299259
200.0,573,1806.1753
435.0,1105,1825.799671
255.0,659,1838.212434
130.0,469,1846.273447
160.0,567,1856.713518
145.0,391,1864.037824
140.0,396,1871.936316
135.0,538,1881.47776
280.0,668,1893.39184
245.0,597,1903.620897
385.0,772,1917.995669
300.0,626,1929.599755
420.0,930,1946.044682
210.0,590,1957.110372
195.0,553,1966.944749
60.0,386,1974.042967
260.0,543,1983.627905
195.0,581,1994.349511
460.0,889,2010.918373
335.0,742,2023.831494
450.0,908,2040.249336
240.0,603,2051.295938
140.0,432,2058.710981
240.0,696,2071.625933
365.0,710,2083.916662
355.0,792,2098.34707
315.0,599,2109.743051
105.0,365,2116.435074
335.0,668,2128.255357
195.0,522,2137.915611
250.0,515,2147.317864
145.0,314,2152.69829
215.0,548,2163.682121
305.0,690,2176.034937
560.0,968,2193.203044
160.0,479,2201.668785
450.0,892,2217.911557
125.0,508,2227.141951
160.0,467,2235.069397
500.0,937,2252.626153
165.0,521,2262.066387
210.0,599,2272.258258
385.0,809,2287.416084
335.0,542,2297.184032
170.0,493,2306.237446
340.0,586,2316.578649
380.0,694,2329.463676
530.0,721,2342.133078
400.0,687,2354.281677
