r,l,t
210.0,597,13.531549
55.0,389,20.571205
120.0,554,30.353142
355.0,581,41.390474
380.0,617,52.495327
210.0,635,63.426683
210.0,635,74.66117
260.0,746,88.344128
210.0,625,99.721079
320.0,587,109.848611
210.0,632,121.204821
155.0,616,132.58772
155.0,605,143.725993
460.0,736,156.536339
285.0,727,170.271168
210.0,641,182.296283
275.0,750,196.180769
265.0,728,208.961754
210.0,644,220.337205
240.0,729,233.620713
290.0,812,247.991197
260.0,736,261.767612
410.0,643,274.240718
210.0,639,285.991235
260.0,734,299.165981
460.0,734,312.263772
260.0,749,326.131311
460.0,730,339.36861
355.0,592,349.671819
180.0,642,361.51328
180.0,657,373.306581
410.0,641,384.79342
180.0,661,396.759704
210.0,625,408.14273
180.0,620,419.351748
210.0,626,430.832217
285.0,730,443.298301
180.0,657,455.006287
210.0,654,466.902803
385.0,598,478.432953
260.0,732,491.883522
265.0,760,505.938294
380.0,611,516.646015
210.0,644,528.968251
210.0,633,540.689309
345.0,1083,561.105509
210.0,610,572.07456
270.0,721,585.989219
380.0,651,597.439646
210.0,647,609.39089
330.0,804,624.053828
340.0,1059,642.820268
290.0,758,656.246921
260.0,736,669.499648
180.0,641,680.984798
310.0,818,696.189962
545.0,1090,716.567848
240.0,730,729.175543
210.0,649,740.842983
210.0,631,751.894433
530.0,1092,772.414202
110.0,540,781.900395
165.0,480,789.912541
210.0,679,802.98722
155.0,602,813.383556
270.0,726,827.842484
110.0,483,836.811151
210.0,645,848.697656
440.0,742,861.990696
695.0,1215,884.342852
380.0,639,895.930781
445.0,776,909.773331
155.0,282,914.53376
390.0,1093,933.714609
180.0,615,945.215338
330.0,1162,966.120046
135.0,481,975.545824
185.0,729,988.600329
210.0,634,1000.313784
135.0,511,1009.529337
210.0,628,1020.87113
105.0,415,1028.291439
440.0,717,1041.299193
465.0,721,1054.015641
210.0,613,1065.258533
420.0,893,1081.556592
270.0,721,1095.065063
80.0,287,1100.191304
55.0,249,1104.637286
380.0,601,1115.128525
225.0,597,1126.053443
180.0,613,1137.342523
425.0,677,1149.756428
75.0,264,1154.571692
105.0,475,1162.689499
300.0,836,1178.295003
290.0,762,1192.382623
120.0,473,1200.633492
460.0,706,1214.419716
460.0,734,1227.864083
155.0,604,1238.234625
260.0,725,1251.619803
360.0,823,1266.074018
185.0,636,1277.349423
180.0,478,1286.412032
360.0,756,1300.852988
365.0,827,1315.652262
305.0,729,1328.966921
260.0,750,1341.779848
500.0,677,1354.508147
240.0,737,1367.257021
215.0,624,1378.656834
180.0,597,1390.482768
135.0,486,1399.299535
215.0,634,1410.347658
210.0,614,1421.460572
330.0,892,1437.798435
320.0,867,1453.374886
90.0,367,1460.215487
230.0,662,1472.211241
485.0,786,1486.872437
210.0,488,1495.65571
85.0,424,1503.085085
140.0,486,1512.146405
335.0,553,1521.946562
75.0,278,1526.954583
230.0,594,1537.202102
90.0,353,1543.905523
155.0,483,1552.713265
210.0,423,1560.028139
570.0,1267,1582.858206
250.0,688,1595.038414
220.0,569,1606.478025
180.0,379,1613.341404
190.0,501,1621.78691
75.0,275,1626.583931
620.0,868,1642.440071
145.0,465,1651.049944
205.0,753,1664.713049
230.0,577,1674.528222
135.0,358,1681.085068
125.0,390,1688.05618
490.0,690,1700.736281
205.0,627,1712.576097
595.0,877,1728.419475
85.0,363,1734.591542
330.0,464,1743.023954
555.0,637,1754.73822
170.0,510,1763.894818
640.0,795,1778.189044
305.0,560,1788.117049
625.0,864,1804.213164
455.0,767,1818.015276
290.0,541,1827.683479
375.0,733,1841.019583
195.0,576,1851.434274
265.0,499,1861.045351
465.0,597,1872.257307
260.0,592,1882.651093
570.0,790,1896.623082
375.0,582,1907.659718
525.0,979,1925.197418
600.0,826,1940.515223
365.0,626,1951.85547
175.0,502,1960.268325
165.0,542,1970.826364
390.0,639,1982.293569
160.0,517,1991.599078
360.0,713,2004.188851
300.0,716,2017.959478
230.0,500,2026.22983
265.0,708,2039.371839
260.0,560,2049.181896
335.0,686,2062.091646
270.0,582,2072.121241
345.0,657,2083.619767
235.0,599,2095.056752
280.0,517,2104.570785
145.0,385,2111.31062
335.0,673,2123.260863
90.0,365,2130.123172
415.0,615,2141.24915
260.0,709,2154.369311
335.0,639,2166.508122
235.0,619,2177.779787
230.0,501,2186.273984
405.0,689,2198.826257
215.0,596,2209.25189
140.0,492,2218.175851
450.0,716,2231.460501
215.0,680,2243.560978
275.0,536,2253.158394
180.0,549,2262.918695
310.0,627,2274.114819
495.0,767,2288.043005
525.0,998,2306.544126
60.0,358,2312.395715
260.0,472,2321.137486
495.0,794,2335.351712
395.0,809,2349.801362
200.0,481,2358.815702
345.0,680,2371.032235
195.0,526,2380.344967
280.0,534,2390.94744
20.0,241,2394.477509
275.0,453,2403.350962
255.0,568,2413.121757
370.0,690,2425.824067
460.0,972,2442.741546
85.0,411,2449.951955
305.0,646,2461.409765
365.0,766,2475.960373
430.0,997,2494.098752
565.0,718,2506.741238
190.0,575,2517.498024
70.0,373,2524.113995
100.0,538,2533.606897
440.0,715,2546.294809
695.0,886,2562.478487
350.0,647,2574.102096
135.0,483,2582.85728
210.0,516,2592.671023
390.0,611,2604.41493
270.0,651,2616.061083
235.0,638,2627.653994
220.0,586,2637.843175
185.0,483,2646.817527
315.0,690,2658.895241
170.0,480,2667.622257
250.0,627,2679.283064
90.0,389,2686.592108
640.0,960,2703.445084
230.0,504,2712.467787
320.0,731,2726.727017
285.0,759,2740.324087
425.0,806,2754.681223
345.0,793,2768.962165
545.0,1157,2789.442462
550.0,709,2801.783005
360.0,721,2814.677025
250.0,444,2822.212189
165.0,508,2831.688884
750.0,931,2848.56304
360.0,639,2860.276572
360.0,654,2872.118398
140.0,469,2880.879491
35.0,359,2887.765753
270.0,603,2898.17876
200.0,530,2908.233103
185.0,509,2916.602228
340.0,738,2930.245486
260.0,597,2941.280376
75.0,365,2947.950361
540.0,854,2962.831303
175.0,425,2970.199733
280.0,536,2980.695098
125.0,469,2988.781222
555.0,1001,3006.507524
380.0,953,3023.766929
445.0,611,3035.454035
200.0,485,3044.104848
450.0,782,3058.119342
245.0,432,3065.874465
475.0,962,3083.4603
115.0,381,3090.497114
315.0,657,3102.283877
230.0,507,3111.340292
415.0,871,3127.062705
255.0,549,3136.740062
345.0,667,3148.470129
255.0,480,3157.134968
675.0,928,3173.997996
410.0,734,3187.431294
250.0,523,3196.704567
345.0,778,3210.643096
425.0,703,3224.283711
300.0,628,3235.134984
335.0,650,3247.080294
580.0,644,3258.894979
365.0,736,3272.556525
70.0,272,3277.45642
550.0,885,3293.45582
270.0,537,3303.050157
455.0,844,3318.336908
525.0,862,3333.252748
295.0,579,3344.733645
455.0,720,3358.082349
570.0,1150,3378.831158
555.0,1048,3397.561438
775.0,825,3412.950775
235.0,565,3422.827108
320.0,701,3436.615128
175.0,530,3445.963444
550.0,850,3460.777102
265.0,618,3472.239352
75.0,314,3477.60019
515.0,879,3494.552527
435.0,748,3508.145369
335.0,497,3517.167428
460.0,831,3531.958966
495.0,690,3544.867139
425.0,817,3559.154882
1015.0,1102,3578.368561
250.0,679,3590.967384
105.0,404,3598.274222
360.0,571,3608.263286
330.0,758,3621.852115
295.0,715,3635.608631
285.0,429,3643.228685
215.0,463,3651.032479
255.0,615,3662.153546
175.0,422,3669.429826
455.0,713,3683.01123
460.0,815,3697.862623
500.0,690,3710.195144
155.0,519,3719.542254
285.0,584,3730.356417
420.0,777,3744.424187
475.0,925,3760.801798
125.0,367,3767.512004
220.0,537,3776.813022
195.0,426,3784.052228
190.0,415,3792.182716
545.0,637,3802.945382
330.0,589,3814.507633
170.0,384,3821.418827
270.0,470,3829.936089
145.0,453,3837.803692
545.0,639,3849.088388
365.0,831,3863.736175
360.0,669,3876.436392
640.0,1002,3893.997134
345.0,666,3906.090485
285.0,695,3919.189017
300.0,725,3932.015629
210.0,402,3939.246659
175.0,396,3947.401984
250.0,567,3957.251971
210.0,458,3965.193408
335.0,665,3977.884336
365.0,745,3990.673762
365.0,714,4004.064004
380.0,652,4015.317789
580.0,1035,4034.29428
370.0,711,4046.977922
365.0,701,4059.784559
625.0,953,4076.481065
175.0,428,4083.890452
220.0,478,4092.793791
205.0,455,4101.379843
345.0,650,4112.977842
680.0,907,4129.24172
225.0,430,4136.689358
315.0,574,4146.686928
340.0,575,4157.749798
415.0,679,4170.266864
505.0,601,4181.338331
170.0,494,4189.88335
300.0,619,4201.02461
500.0,1311,4224.542745
590.0,606,4235.502575
425.0,683,4247.646132
395.0,747,4261.161761
240.0,416,4268.406946
415.0,645,4279.954754
375.0,722,4293.257855
400.0,689,4305.443084
635.0,851,4321.017591
335.0,704,4333.357168
130.0,397,4340.326309
260.0,659,4352.066024
270.0,572,4362.565482
160.0,389,4369.433607
140.0,298,4374.543245
80.0,299,4379.726834
290.0,673,4391.914304
260.0,511,4401.544298
745.0,731,4414.828974
280.0,485,4423.740748
545.0,1053,4443.445966
510.0,1008,4462.511435
500.0,815,4476.881822
540.0,843,4492.450788
330.0,777,4506.452798
110.0,303,4511.612906
460.0,723,4523.931352
210.0,495,4532.889643
515.0,863,4548.561639
70.0,283,4553.463942
375.0,681,4565.815326
465.0,674,4579.139971
305.0,582,4589.284578
575.0,814,4603.638231
220.0,600,4614.7561
440.0,944,4631.733739
285.0,587,4642.386066
270.0,585,4652.470795
225.0,813,4668.301344
315.0,581,4678.472197
275.0,606,4689.424129
230.0,492,4698.457627
490.0,811,4713.23722
800.0,1249,4736.455526
330.0,619,4746.985464
450.0,623,4758.253459
400.0,681,4770.481778
330.0,582,4781.134002
300.0,583,4791.415783
270.0,715,4804.887117
470.0,812,4819.663931
240.0,598,4830.576164
350.0,546,4839.997753
470.0,799,4854.558245
540.0,744,4868.384042
165.0,480,4877.091496
225.0,410,4884.155928
115.0,370,4891.037544
445.0,880,4906.530796
485.0,736,4920.303267
690.0,933,4936.648788
290.0,550,4947.499744
410.0,761,4960.891655
165.0,525,4970.452867
510.0,847,4986.083363
470.0,893,5002.769394
320.0,715,5016.038593
630.0,828,5032.451154
250.0,563,5042.560023
300.0,616,5053.52131
245.0,479,5062.268003
465.0,928,5079.12376
190.0,605,5089.602191
395.0,658,5101.900237
545.0,1043,5120.655111
315.0,683,5132.351322
600.0,1481,5159.440993
630.0,1095,5179.745985
435.0,611,5191.353678
330.0,606,5202.240263
285.0,635,5214.510243
605.0,982,5233.336576
485.0,816,5247.674203
325.0,497,5256.694517
505.0,980,5274.868449
850.0,989,5292.201182
600.0,848,5307.653306
780.0,931,5323.950347
745.0,643,5335.606635
245.0,572,5345.669219
355.0,646,5357.896788
575.0,1200,5380.156051
430.0,737,5392.991976
405.0,825,5409.13528
575.0,698,5421.433625
345.0,620,5432.775495
430.0,926,5449.095513
240.0,749,5462.97076
355.0,594,5473.105493
600.0,1084,5493.102544
545.0,1026,5511.863202
680.0,925,5528.217603
680.0,811,5542.867181
225.0,405,5550.310871
160.0,511,5559.724071
385.0,806,5574.7492
925.0,1228,5596.294059
230.0,495,5605.746855
90.0,385,5612.808431
390.0,589,5622.935847
570.0,838,5638.262113
305.0,503,5647.690276
745.0,1055,5666.901983
365.0,615,5678.038207
410.0,658,5689.7002
595.0,627,5701.033288
590.0,690,5713.337735
445.0,712,5725.99311
680.0,889,5742.21383
190.0,394,5749.212677
380.0,824,5765.015388
250.0,678,5777.49351
375.0,812,5792.091037
210.0,500,5800.994313
410.0,720,5814.353208
545.0,756,5827.073337
675.0,906,5843.402867
435.0,659,5855.239747
245.0,496,5864.564712
420.0,811,5879.474173
145.0,487,5887.724101
315.0,583,5899.109223
545.0,795,5914.06824
145.0,438,5921.798827
530.0,808,5936.578845
310.0,596,5946.753519
495.0,861,5962.592885
455.0,684,5974.630378
605.0,1228,5996.709377
325.0,547,6006.13784
445.0,685,6018.419664
485.0,802,6033.162496
330.0,493,6042.293171
275.0,586,6052.902097
490.0,736,6065.636552
215.0,579,6077.091892
325.0,675,6089.312816
375.0,627,6100.799546
395.0,576,6110.494277
530.0,676,6123.125433
820.0,1049,6141.868446
370.0,594,6152.236166
385.0,630,6164.410063
345.0,597,6175.376648
405.0,653,6187.061795
430.0,636,6198.744271
630.0,856,6214.158567
155.0,472,6223.383712
495.0,834,6237.780871
500.0,969,6255.767692
280.0,594,6266.005522
370.0,660,6278.667921
315.0,513,6287.050427
185.0,440,6295.328766
180.0,519,6304.713558
265.0,574,6314.658955
145.0,489,6323.379741
335.0,647,6335.139086
270.0,415,6342.445775
515.0,820,6358.360677
325.0,737,6371.583228
360.0,585,6382.425967
295.0,597,6392.615023
525.0,774,6406.554862
445.0,1008,6424.782681
560.0,677,6436.712963
695.0,944,6454.28513
545.0,1031,6472.444525
120.0,371,6479.336872
295.0,468,6487.52471
370.0,704,6500.680876
315.0,573,6510.646662
405.0,903,6527.047748
360.0,759,6540.932368
525.0,633,6552.096792
135.0,434,6559.72049
330.0,629,6571.024689
410.0,627,6582.514243
380.0,666,6594.094245
555.0,678,6606.047547
450.0,859,6621.803661
385.0,620,6633.122498
440.0,700,6645.388337
155.0,392,6652.115863
305.0,604,6663.551399
305.0,635,6675.536549
310.0,627,6686.076846
800.0,899,6702.133935
470.0,716,6716.095256
665.0,843,6731.058829
150.0,549,6741.177818
490.0,686,6753.157588
245.0,475,6761.896189
280.0,564,6771.586795
445.0,865,6787.881527
205.0,402,6794.97491
480.0,797,6808.845355
115.0,454,6816.636411
575.0,969,6834.53653
650.0,833,6849.180695
465.0,961,6866.769858
320.0,583,6876.632614
700.0,588,6887.305722
310.0,559,6897.036516
450.0,699,6909.296896
375.0,710,6922.300283
485.0,704,6934.542253
470.0,715,6948.266433
320.0,548,6957.784801
595.0,583,6968.440303
90.0,303,6973.599387
325.0,522,6982.927525
390.0,568,6992.754223
410.0,791,7006.865192
395.0,716,7020.659897
440.0,751,7033.874405
515.0,857,7048.998419
395.0,727,7062.606288
680.0,693,7074.587975
295.0,503,7083.592584
360.0,574,7094.000166
240.0,580,7103.998265
575.0,732,7117.727634
165.0,500,7127.195668
380.0,531,7136.687638
315.0,545,7146.276906
380.0,597,7157.412888
605.0,964,7174.319692
850.0,995,7192.230568
540.0,854,7207.198267
430.0,653,7219.026133
575.0,1086,7238.943498
540.0,629,7250.481143
460.0,964,7267.451251
600.0,1072,7286.357928
345.0,541,7297.212267
580.0,582,7307.386178
465.0,721,7320.460104
550.0,766,7334.575812
510.0,571,7344.710441
245.0,449,7352.421129
340.0,575,7363.208922
275.0,536,7372.692032
585.0,822,7387.391615
450.0,750,7401.988656
325.0,681,7414.223647
395.0,721,7427.329797
255.0,490,7436.151772
570.0,1035,7454.533796
325.0,618,7465.861077
500.0,817,7481.122925
545.0,795,7495.580628
530.0,791,7509.522051
370.0,708,7522.604396
775.0,1097,7541.840787
425.0,831,7557.567114
370.0,512,7566.179082
370.0,564,7576.855914
340.0,598,7587.116498
525.0,844,7602.793957
745.0,1034,7621.091989
385.0,632,7632.467185
670.0,1059,7652.125807
305.0,578,7662.934387
515.0,800,7677.141465
530.0,729,7689.850662
375.0,569,7700.691794
435.0,646,7712.120678
300.0,587,7722.22351
295.0,557,7732.672692
650.0,556,7742.143446
525.0,994,7760.8188
335.0,582,7771.187901
770.0,997,7789.005561
495.0,772,7803.015126
345.0,631,7814.65314
540.0,963,7832.208759
600.0,1061,7851.090139
340.0,622,7862.225215
585.0,974,7880.121012
320.0,563,7889.935064
315.0,673,7901.735984
465.0,653,7913.375661
520.0,825,7928.780463
385.0,631,7939.627137
565.0,817,7955.327958
600.0,958,7971.894611
315.0,478,7980.880425
400.0,576,7990.989141
380.0,632,8002.251312
315.0,512,8011.186032
360.0,604,8022.607085
440.0,678,8035.144702
290.0,482,8044.469995
345.0,674,8056.309842
440.0,736,8069.819825
750.0,890,8085.729836
390.0,696,8097.752475
355.0,664,8109.895186
395.0,735,8124.219655
410.0,742,8137.094629
310.0,518,8146.264163
270.0,492,8155.076322
415.0,731,8168.491866
510.0,677,8180.305244
475.0,910,8197.019362
320.0,705,8210.399182
805.0,1118,8229.904428
320.0,581,8241.003455
450.0,785,8254.806975
570.0,874,8270.701717
545.0,869,8285.664526
380.0,580,8296.526718
440.0,725,8308.932021
785.0,1003,8327.721579
550.0,816,8342.676156
575.0,886,8358.800409
420.0,793,8373.037448
220.0,471,8381.656878
490.0,770,8395.178118
500.0,743,8409.050344
395.0,658,8421.454216
545.0,937,8437.826717
445.0,681,8449.842871
520.0,893,8466.028457
525.0,909,8482.17566
690.0,927,8498.46921
515.0,895,8514.567575
550.0,843,8530.151423
515.0,922,8546.491463
175.0,480,8555.244839
480.0,710,8567.806472
470.0,795,8582.826231
545.0,956,8600.698049
440.0,721,8613.222312
570.0,887,8629.918501
440.0,639,8641.543733
300.0,665,8653.250298
190.0,533,8662.514878
465.0,900,8678.900177
335.0,850,8694.500917
755.0,1215,8716.134671
340.0,546,8726.464679
600.0,910,8743.030607
270.0,484,8751.414556
455.0,897,8767.748038
390.0,618,8778.760477
455.0,795,8793.27002
385.0,667,8804.995955
730.0,797,8819.290336
545.0,864,8835.174636
800.0,1237,8858.068569
575.0,874,8874.099008
390.0,712,8886.626968
600.0,1045,8904.947994
320.0,583,8915.985563
250.0,572,8925.778178
580.0,657,8937.472401
680.0,980,8956.029696
490.0,876,8971.270521
770.0,1023,8989.484342
460.0,808,9004.282651
600.0,1007,9023.278892
365.0,679,9035.905779
485.0,759,9049.806934
570.0,1029,9068.445084
