r,l,t
50.0,284,8.113563
180.0,545,17.916259
155.0,590,28.1101
120.0,588,39.20645
180.0,614,50.321905
120.0,592,60.775445
135.0,608,71.58571
120.0,593,81.834473
110.0,477,90.653798
180.0,623,102.066349
160.0,599,112.986789
440.0,743,125.726445
410.0,649,137.700338
180.0,662,149.57115
260.0,706,162.743534
210.0,620,174.53523
210.0,633,186.154777
260.0,734,199.311716
210.0,644,210.826998
325.0,817,225.995996
210.0,646,236.672951
240.0,728,249.934258
155.0,595,261.367264
285.0,721,274.649669
180.0,660,286.680515
270.0,735,299.974611
260.0,727,313.79886
410.0,642,325.317927
265.0,734,337.947792
285.0,1022,356.757439
210.0,631,368.405532
180.0,664,380.079004
210.0,628,391.504985
210.0,643,403.302728
485.0,732,416.633846
265.0,756,430.452914
485.0,982,447.399889
300.0,817,461.945202
410.0,644,474.107746
395.0,1085,494.385301
225.0,812,508.97241
240.0,730,523.41635
460.0,729,536.139225
210.0,615,547.626952
410.0,650,559.337585
210.0,637,571.710652
120.0,489,581.211416
410.0,623,592.455225
180.0,652,604.227486
320.0,770,618.26676
210.0,630,629.240277
260.0,726,642.3691
270.0,730,655.604146
460.0,721,667.891873
210.0,641,679.214641
415.0,626,691.103958
210.0,626,703.102859
345.0,800,717.35861
110.0,311,722.496843
260.0,729,735.914787
210.0,627,747.046509
380.0,605,758.283659
210.0,607,768.665387
180.0,602,779.896091
210.0,615,791.009851
460.0,732,803.854926
210.0,652,815.890522
210.0,632,828.253307
210.0,641,839.980174
105.0,496,849.182374
455.0,767,863.787846
210.0,620,874.842048
410.0,594,885.185279
110.0,478,893.901304
305.0,745,907.452673
210.0,604,917.672888
210.0,615,928.728058
105.0,479,937.734633
530.0,968,954.847673
90.0,283,959.681058
210.0,657,971.537695
545.0,1062,992.158333
185.0,602,1002.752794
285.0,660,1014.440303
120.0,486,1023.494291
105.0,380,1030.203735
310.0,747,1043.814678
125.0,486,1052.869454
180.0,600,1063.125875
155.0,620,1074.566881
270.0,723,1088.106363
445.0,706,1100.573351
110.0,387,1107.597826
180.0,595,1118.687606
210.0,672,1130.489046
