r,l,t
430.0,1059,22.394034
185.0,694,34.76092
60.0,298,39.827572
185.0,619,51.24099
210.0,605,62.130898
410.0,639,73.589602
380.0,610,84.130396
180.0,642,95.761548
210.0,600,106.785197
210.0,629,118.024617
160.0,588,128.143411
210.0,624,139.833168
180.0,658,151.664696
180.0,633,163.112078
330.0,828,179.234876
245.0,712,191.907042
285.0,722,205.187426
210.0,641,216.687186
335.0,810,231.097259
270.0,737,244.399401
240.0,725,257.021847
265.0,738,271.541939
180.0,627,283.185425
310.0,810,297.509208
210.0,636,309.272002
310.0,809,323.958004
105.0,485,332.700501
285.0,723,345.142219
210.0,635,356.908213
285.0,728,370.34017
495.0,817,384.912953
210.0,630,396.500568
240.0,834,411.807367
260.0,729,424.46598
460.0,743,438.05486
365.0,1096,457.182612
180.0,657,470.460907
410.0,639,481.336846
180.0,663,494.022101
380.0,644,505.805036
265.0,761,519.342206
210.0,636,531.358234
210.0,609,542.776735
105.0,488,551.696117
240.0,727,564.768448
180.0,604,576.686321
380.0,602,587.964978
155.0,589,597.907684
210.0,612,609.507364
210.0,639,621.361496
240.0,610,632.392822
390.0,1121,651.837202
565.0,1077,671.569738
525.0,824,686.112224
225.0,691,698.942152
445.0,750,712.863794
290.0,763,726.514307
375.0,1092,745.827332
240.0,735,759.242817
210.0,651,770.925587
260.0,706,784.081588
260.0,743,797.034194
110.0,494,806.097362
260.0,728,820.334417
285.0,733,833.415368
210.0,667,846.332469
420.0,1179,868.200542
260.0,713,880.705364
395.0,624,891.987956
210.0,613,903.226594
210.0,629,914.240398
210.0,684,926.226903
170.0,629,937.861203
620.0,1074,956.979142
550.0,825,972.710237
210.0,612,983.546229
230.0,659,995.686497
225.0,554,1006.164862
180.0,510,1015.395625
320.0,737,1028.222065
285.0,810,1042.622065
240.0,691,1055.538147
180.0,643,1067.134178
180.0,492,1076.230437
460.0,976,1093.505243
210.0,616,1105.08568
410.0,641,1116.788598
410.0,619,1127.923749
330.0,846,1142.909224
245.0,770,1157.424561
285.0,714,1170.729233
45.0,287,1175.620137
415.0,1130,1196.969024
70.0,264,1201.804313
265.0,720,1214.709713
215.0,602,1225.669132
500.0,753,1239.404263
135.0,535,1248.95296
255.0,708,1261.30792
275.0,769,1274.965793
305.0,736,1288.867237
270.0,701,1301.651623
210.0,605,1313.068244
240.0,610,1324.116986
50.0,261,1328.782887
285.0,740,1341.507819
215.0,627,1352.950906
135.0,482,1361.577542
115.0,306,1366.727392
500.0,834,1382.789187
480.0,1215,1405.040066
260.0,520,1414.220825
260.0,647,1425.879746
160.0,382,1432.809707
260.0,726,1446.135834
80.0,406,1453.209065
380.0,676,1465.341142
340.0,579,1475.582481
