r,l,t
120.0,519,11.861024
105.0,456,20.413965
330.0,993,38.665778
135.0,594,49.04103
155.0,605,60.101704
180.0,631,71.363366
210.0,639,83.056
210.0,650,94.741567
120.0,586,104.81851
210.0,618,115.954299
285.0,728,129.516636
210.0,632,141.118402
240.0,734,153.804569
180.0,608,165.145627
240.0,714,177.952679
270.0,734,191.911337
290.0,727,205.257476
210.0,639,216.730398
290.0,724,229.284746
210.0,643,240.623207
180.0,636,252.177014
260.0,725,266.218597
260.0,742,279.564851
180.0,652,291.423138
460.0,723,304.657668
270.0,733,318.414784
410.0,647,330.195294
460.0,727,342.622109
410.0,610,354.08484
225.0,815,368.791372
180.0,603,379.590056
180.0,605,390.736407
185.0,610,401.439422
260.0,733,414.716011
180.0,617,426.168688
180.0,620,437.289186
290.0,725,449.71064
180.0,607,461.068051
260.0,736,474.266935
335.0,805,489.439318
260.0,737,502.341547
410.0,620,514.005221
375.0,1101,535.162109
110.0,289,540.20561
210.0,635,551.776379
180.0,637,563.795526
300.0,803,578.999233
460.0,747,592.609142
535.0,825,607.193253
260.0,728,620.910992
490.0,718,633.676975
105.0,303,639.325739
180.0,588,649.251619
265.0,728,662.431175
285.0,715,674.73646
410.0,629,686.276522
270.0,739,700.678214
265.0,754,714.434272
210.0,609,724.608345
460.0,731,738.13488
210.0,604,748.908147
180.0,601,759.536489
225.0,714,772.769083
330.0,816,787.138195
180.0,605,798.41292
275.0,755,812.488619
135.0,590,823.339076
275.0,768,837.596781
285.0,725,851.2857
80.0,367,858.259254
180.0,603,868.815023
210.0,615,879.911793
190.0,605,891.066144
260.0,722,903.754603
210.0,599,914.352993
185.0,614,924.874807
260.0,721,938.177105
210.0,613,949.607488
360.0,1051,968.369623
260.0,730,982.577833
60.0,298,987.884518
285.0,700,1000.234901
110.0,303,1006.064627
350.0,1108,1025.765121
110.0,510,1034.761826
30.0,310,1040.159029
210.0,618,1051.322422
260.0,731,1064.954434
210.0,603,1075.315014
55.0,380,1082.193557
110.0,484,1091.11011
30.0,253,1095.7345
155.0,598,1106.969365
185.0,655,1118.977663
425.0,673,1130.668281
425.0,1154,1152.159816
80.0,260,1157.010457
260.0,737,1170.569729
140.0,465,1178.529044
240.0,737,1192.241944
105.0,396,1199.726379
425.0,632,1211.537297
215.0,631,1222.977457
210.0,630,1233.96978
375.0,964,1251.676188
465.0,762,1265.297416
210.0,600,1275.544079
210.0,614,1286.880071
290.0,554,1296.959116
215.0,610,1308.644578
170.0,498,1317.86689
110.0,376,1324.415401
210.0,606,1334.804207
515.0,705,1347.932605
285.0,727,1361.1812
240.0,742,1373.942682
425.0,808,1389.795927
130.0,537,1399.510181
315.0,686,1411.776185
140.0,488,1420.689219
470.0,851,1435.815544
165.0,528,1445.102174
540.0,770,1458.944447
315.0,760,1472.836135
425.0,940,1490.192327
