r,l,t
35.0,308,10.723878
135.0,440,15.547264
60.0,387,19.837933
105.0,380,24.078986
45.0,466,29.481175
255.0,699,36.721139
295.0,833,46.127728
50.0,271,49.059436
135.0,445,53.716082
410.0,507,59.269264
150.0,573,65.094409
80.0,414,69.416289
150.0,515,75.34127
360.0,753,83.548478
140.0,508,89.423385
150.0,380,93.769793
170.0,611,100.762927
175.0,531,106.27459
335.0,545,112.083135
195.0,732,120.427846
65.0,297,123.772624
145.0,453,128.592986
215.0,756,136.778085
265.0,719,144.560962
260.0,725,151.977721
415.0,694,159.656909
330.0,755,168.298128
210.0,611,174.665258
210.0,602,180.936279
155.0,592,187.567405
300.0,751,195.60225
260.0,745,203.663966
210.0,616,210.398671
155.0,607,217.192992
515.0,807,225.716918
210.0,640,232.681018
180.0,608,238.847907
210.0,618,245.588652
290.0,731,254.287025
535.0,818,263.070263
260.0,719,271.063971
210.0,607,277.464803
355.0,600,284.260604
270.0,744,292.390025
180.0,604,298.457408
210.0,625,305.374869
460.0,743,313.469818
155.0,601,320.333426
225.0,704,328.008486
495.0,720,336.230755
365.0,1002,346.386076
110.0,501,351.944016
275.0,770,360.193255
80.0,309,363.611519
200.0,654,370.660089
265.0,733,378.238543
120.0,507,383.753017
270.0,718,391.801913
485.0,706,399.01105
180.0,584,405.843274
210.0,607,412.355759
110.0,472,417.813762
180.0,643,424.758421
520.0,809,433.034053
210.0,661,440.088296
265.0,736,448.008016
180.0,581,453.635327
410.0,608,460.361942
210.0,674,467.276126
155.0,586,473.615575
210.0,647,480.600928
660.0,1286,494.124822
260.0,737,502.395671
435.0,1165,514.800157
485.0,1025,525.039728
260.0,730,533.061811
285.0,722,540.933146
110.0,553,546.676138
215.0,655,553.534572
210.0,631,560.153799
275.0,775,568.455691
460.0,721,576.037748
530.0,1056,587.880328
590.0,1077,599.283336
685.0,1411,615.095798
515.0,765,623.500929
635.0,1205,636.047604
295.0,719,644.000539
330.0,837,652.518653
390.0,1113,665.080904
275.0,730,673.130627
210.0,610,679.434718
590.0,1096,690.983168
675.0,1165,703.768181
620.0,1086,715.098408
370.0,1074,726.857414
485.0,703,734.0143
320.0,794,742.120585
210.0,648,748.978741
260.0,730,756.677466
635.0,1106,768.389524
635.0,1183,780.932685
540.0,818,789.514823
315.0,727,796.998758
290.0,710,804.584253
210.0,652,811.238859
370.0,1076,822.561344
315.0,743,830.725046
660.0,1158,843.459911
445.0,1179,856.034215
650.0,1184,868.886885
330.0,794,878.29361
620.0,1072,889.80939
300.0,738,897.848558
435.0,1239,910.979847
850.0,1165,923.151469
485.0,1155,935.158023
235.0,603,941.65852
275.0,738,949.736902
410.0,1024,960.375003
450.0,1255,973.610082
225.0,637,980.25481
210.0,632,986.748719
620.0,1056,997.692778
440.0,1152,1009.973513
225.0,669,1017.178082
500.0,1168,1029.389323
335.0,760,1037.63332
390.0,1063,1049.019093
885.0,1136,1060.788004
300.0,763,1068.73809
475.0,754,1076.933502
390.0,1023,1087.867402
345.0,1041,1098.776848
320.0,722,1106.681544
790.0,1025,1117.42566
345.0,747,1124.950427
460.0,721,1132.854313
510.0,721,1140.339574
420.0,1065,1151.49883
290.0,735,1158.900826
135.0,326,1162.661916
335.0,733,1170.16518
450.0,1223,1182.73569
440.0,681,1190.018034
590.0,1065,1201.877942
210.0,631,1207.778495
285.0,718,1215.333294
360.0,750,1223.487195
470.0,1110,1235.19562
590.0,1093,1247.229977
405.0,782,1255.258781
450.0,1116,1267.677141
285.0,691,1274.846292
495.0,750,1282.410462
375.0,812,1290.840506
420.0,1077,1302.715104
495.0,716,1310.601177
450.0,1124,1323.306244
870.0,1116,1335.070739
345.0,1045,1346.087184
620.0,1086,1358.129521
500.0,1204,1370.588618
420.0,1070,1381.718543
620.0,1077,1394.100617
290.0,694,1401.466436
495.0,1102,1413.082403
1070.0,1227,1425.859686
305.0,830,1434.777713
900.0,1155,1446.507644
315.0,717,1453.654696
360.0,721,1461.638199
520.0,748,1469.162783
635.0,1264,1482.248111
580.0,775,1489.973031
730.0,790,1498.469445
420.0,1059,1510.374188
325.0,736,1517.720704
285.0,701,1525.222221
605.0,1112,1537.102724
350.0,772,1545.207754
210.0,630,1552.059827
360.0,738,1560.076252
670.0,1210,1572.627005
120.0,313,1576.333572
320.0,788,1584.951481
450.0,1119,1596.592179
155.0,319,1600.369415
135.0,310,1603.567941
285.0,733,1611.702353
350.0,772,1619.958622
425.0,1071,1631.342672
315.0,673,1638.004077
485.0,698,1645.342319
425.0,1080,1656.821498
210.0,610,1663.884735
355.0,749,1672.104462
420.0,1064,1682.946932
290.0,695,1690.105786
620.0,1067,1701.434708
105.0,302,1704.548739
450.0,1034,1715.060386
125.0,340,1718.314888
305.0,765,1726.652477
345.0,706,1734.253184
225.0,528,1739.986979
455.0,992,1751.047655
240.0,685,1758.448074
320.0,617,1765.246426
780.0,1282,1778.839374
260.0,515,1783.823855
435.0,1059,1795.534321
155.0,458,1799.939996
380.0,992,1810.887587
290.0,665,1817.919935
635.0,903,1827.813363
755.0,1269,1841.890595
645.0,1044,1852.600287
390.0,853,1861.686331
670.0,1047,1873.467819
905.0,1164,1886.708713
670.0,1023,1898.072459
315.0,644,1905.180562
320.0,958,1915.039053
820.0,989,1925.338568
315.0,859,1934.328794
295.0,789,1942.653524
665.0,1100,1954.897841
290.0,610,1961.476915
225.0,536,1967.093453
195.0,510,1972.580882
180.0,411,1976.928131
315.0,604,1983.496265
270.0,612,1989.68537
620.0,1018,2001.031089
450.0,933,2010.604567
330.0,664,2018.148524
305.0,803,2027.093464
470.0,1047,2038.033602
375.0,688,2045.170405
525.0,985,2055.849664
795.0,1140,2067.857535
360.0,641,2074.468292
695.0,971,2084.382672
365.0,801,2093.063295
515.0,881,2102.500853
620.0,978,2112.631983
1065.0,1368,2127.107595
420.0,955,2137.655731
600.0,654,2144.930659
500.0,902,2154.517139
415.0,735,2161.71822
170.0,317,2165.103212
375.0,593,2171.017357
560.0,1281,2184.554143
525.0,634,2191.081945
365.0,839,2199.767693
645.0,1046,2210.744359
355.0,721,2218.043995
585.0,1418,2233.835178
775.0,1335,2248.958689
500.0,1044,2259.889598
630.0,742,2267.979904
210.0,466,2272.60593
485.0,726,2280.489599
275.0,680,2287.367815
470.0,691,2294.354417
525.0,793,2303.143947
420.0,916,2312.362263
670.0,931,2322.095722
545.0,1029,2332.874177
520.0,1279,2346.57669
565.0,656,2353.459162
435.0,689,2360.602354
305.0,624,2367.315462
725.0,1074,2378.275994
945.0,1114,2389.728721
335.0,605,2396.055515
775.0,1159,2408.080065
530.0,956,2417.70391
515.0,564,2423.313514
350.0,609,2429.812272
410.0,568,2435.391065
755.0,1395,2450.562198
405.0,842,2459.635116
255.0,521,2464.951973
315.0,676,2471.645546
730.0,1072,2482.441011
725.0,1012,2493.21926
755.0,1065,2504.897392
570.0,1058,2516.326998
375.0,604,2522.408078
865.0,1418,2537.097916
420.0,871,2546.1197
725.0,1015,2556.516825
840.0,1610,2572.645598
710.0,1525,2588.223826
900.0,1459,2603.967245
1005.0,1342,2617.606675
740.0,935,2627.583255
155.0,405,2631.695487
450.0,907,2641.296214
345.0,706,2649.224861
185.0,490,2654.65115
285.0,646,2661.074256
405.0,683,2668.314448
400.0,601,2674.315795
395.0,713,2682.195635
495.0,1074,2693.259445
625.0,1056,2704.526709
270.0,577,2711.096687
500.0,917,2720.918149
365.0,583,2727.74695
675.0,1611,2744.809461
575.0,1245,2757.252284
575.0,742,2764.724403
595.0,1256,2777.875841
500.0,1089,2789.440973
495.0,1076,2800.36168
440.0,692,2807.226369
370.0,708,2814.832289
610.0,1052,2825.358238
555.0,1178,2837.699621
620.0,988,2848.248747
805.0,1393,2862.795187
830.0,1910,2882.402717
160.0,319,2886.235884
605.0,1230,2899.143811
400.0,560,2905.184529
450.0,915,2914.664728
575.0,1039,2925.414226
525.0,807,2933.538775
780.0,1142,2945.508891
480.0,746,2953.278157
720.0,884,2962.535281
725.0,1057,2973.980023
760.0,1454,2989.275441
385.0,664,2996.006904
445.0,803,3004.376015
770.0,905,3013.721614
755.0,1100,3025.684374
420.0,725,3033.977106
315.0,561,3039.987515
375.0,687,3047.223352
360.0,585,3053.920763
540.0,932,3063.933228
315.0,537,3069.497103
665.0,698,3076.72984
485.0,1012,3087.91681
575.0,694,3099.002499
365.0,704,3106.455412
960.0,1135,3120.922931
910.0,1581,3140.775315
815.0,1155,3155.078826
860.0,1442,3172.67517
715.0,1508,3191.82463
240.0,714,3201.857168
480.0,795,3218.687277
480.0,804,3229.791023
600.0,1221,3248.93559
605.0,1208,3268.969621
525.0,1008,3289.554003
465.0,804,3302.330456
915.0,1709,3332.114552
230.0,373,3338.715551
