r,l,t
225.0,741,15.595843
110.0,469,20.960388
180.0,581,27.166985
110.0,513,32.795544
135.0,439,37.763957
80.0,444,42.457907
155.0,583,48.978957
100.0,514,54.315381
320.0,653,61.672252
540.0,1109,73.525282
45.0,313,76.854378
210.0,490,82.204937
655.0,884,92.287452
285.0,512,98.113062
215.0,491,103.441432
555.0,647,110.414677
80.0,381,114.539661
205.0,807,123.844139
50.0,284,126.921147
285.0,598,133.435388
210.0,465,138.21268
50.0,310,141.68825
50.0,301,144.74336
215.0,692,151.852444
180.0,616,158.439237
225.0,698,165.962868
180.0,657,174.00563
285.0,806,182.12975
155.0,601,188.340421
105.0,276,191.291557
80.0,300,195.009631
210.0,636,201.896309
210.0,637,208.732707
210.0,620,215.300038
290.0,1006,226.106851
210.0,642,233.170107
240.0,711,240.85401
180.0,626,247.364927
345.0,1101,260.002667
410.0,639,267.002115
365.0,594,273.258048
295.0,706,281.346113
210.0,638,288.308177
330.0,797,296.720879
210.0,619,303.452322
210.0,638,310.305995
180.0,585,316.580145
90.0,305,320.272157
330.0,826,329.414632
460.0,718,337.045921
300.0,815,345.843124
215.0,654,352.993072
210.0,633,359.817368
355.0,608,365.958018
110.0,484,371.355858
330.0,819,379.824463
335.0,810,388.997643
210.0,601,395.295955
110.0,480,400.384002
445.0,745,409.002051
210.0,615,415.946929
210.0,608,422.263552
155.0,588,428.719764
210.0,634,435.50856
260.0,752,443.041108
435.0,1284,456.485853
210.0,615,463.093747
345.0,1083,474.781631
135.0,511,480.307851
330.0,834,488.784775
530.0,996,499.800314
110.0,495,504.835478
210.0,603,511.306075
420.0,1089,522.753824
270.0,737,530.347678
365.0,1087,542.268508
210.0,610,548.468682
180.0,606,555.09037
210.0,660,562.003915
210.0,607,568.406269
160.0,602,574.676772
310.0,813,583.802078
110.0,487,589.05718
285.0,729,596.575784
260.0,727,604.54353
210.0,652,611.930852
260.0,732,619.852262
260.0,725,627.666986
210.0,647,634.560432
210.0,643,641.420411
215.0,659,648.350411
365.0,1091,660.523486
515.0,723,668.271245
355.0,976,678.9352
410.0,614,685.089991
540.0,1053,696.53982
485.0,695,703.978104
260.0,723,711.848444
210.0,657,718.645592
315.0,731,726.243184
650.0,1279,739.561656
210.0,633,746.296914
315.0,831,755.125054
210.0,614,761.328508
210.0,610,768.096307
305.0,818,776.752241
210.0,604,783.082401
325.0,839,791.526158
210.0,606,798.11301
420.0,1273,811.343407
285.0,714,819.038618
290.0,731,826.599548
465.0,748,834.927514
285.0,710,842.407446
450.0,1292,856.301468
345.0,1034,867.622717
330.0,1046,879.854474
450.0,1263,893.143345
330.0,760,901.189487
330.0,731,909.39367
365.0,1071,920.34981
110.0,324,924.028349
795.0,1078,935.028162
495.0,1115,947.055315
335.0,799,955.604191
420.0,1020,966.539107
240.0,656,973.15552
820.0,1076,984.441677
245.0,725,992.070481
420.0,1069,1003.037344
285.0,702,1010.319889
350.0,1026,1021.503669
470.0,1252,1034.898938
420.0,1082,1046.775414
820.0,1157,1058.733311
150.0,513,1063.595509
515.0,744,1071.548838
635.0,1107,1083.575464
470.0,1265,1096.91455
700.0,1197,1109.671663
315.0,692,1116.7346
285.0,704,1124.266086
245.0,661,1131.377603
450.0,1167,1143.579684
210.0,613,1150.046306
290.0,711,1157.30061
620.0,1071,1168.396361
265.0,767,1176.487841
