r,l,t
50.0,299,10.721314
155.0,478,15.939285
210.0,582,22.57967
175.0,600,29.42819
235.0,605,35.623239
120.0,661,42.801956
385.0,665,50.130188
110.0,382,54.231324
110.0,328,58.036036
320.0,491,63.185488
205.0,527,68.746749
160.0,469,73.822951
60.0,303,77.46752
75.0,328,80.834603
260.0,474,86.07061
70.0,263,89.138275
135.0,472,94.154335
55.0,332,98.012725
275.0,832,106.920334
175.0,472,112.06826
30.0,466,117.273147
125.0,523,123.464749
105.0,486,128.533332
105.0,510,134.095217
265.0,643,140.827935
210.0,621,147.545021
120.0,577,153.421142
180.0,656,160.408843
545.0,1054,172.73748
350.0,578,178.581167
290.0,732,186.484647
180.0,607,192.682117
275.0,742,201.092609
75.0,289,204.01606
210.0,614,210.859691
460.0,737,218.99441
160.0,590,224.838443
315.0,1041,236.241535
290.0,725,244.10792
180.0,625,251.371329
180.0,590,257.620761
155.0,599,264.408638
210.0,602,271.048257
110.0,469,276.008183
155.0,598,282.688213
180.0,612,289.433442
210.0,634,295.833071
410.0,616,302.461848
210.0,615,309.154207
260.0,729,317.56273
210.0,627,323.928765
120.0,485,329.683199
465.0,697,337.75653
230.0,647,344.422792
380.0,616,350.65806
210.0,642,357.654837
715.0,998,368.36128
415.0,635,375.23296
395.0,1074,386.686844
80.0,369,390.83039
565.0,1048,401.949942
55.0,414,406.55199
595.0,1097,419.238211
185.0,668,426.270348
365.0,1094,437.583961
110.0,552,443.721406
155.0,597,449.747037
525.0,822,458.550073
185.0,590,464.503967
350.0,1128,476.635875
410.0,613,483.21065
180.0,655,490.061765
500.0,820,498.759166
210.0,597,505.533026
210.0,598,511.532809
180.0,630,518.096145
180.0,670,524.96921
320.0,813,534.104063
410.0,652,540.952954
335.0,823,549.553424
310.0,527,555.13888
240.0,733,562.944532
310.0,838,571.794374
330.0,1062,583.085603
180.0,657,590.534118
225.0,667,597.643473
225.0,669,604.718779
180.0,584,610.961524
330.0,1055,623.121942
460.0,725,630.612372
260.0,721,638.378712
330.0,1041,649.480988
270.0,748,657.676165
260.0,713,665.369023
460.0,707,673.180546
210.0,615,679.568127
345.0,802,687.791793
485.0,701,695.418886
395.0,1076,707.107806
340.0,805,715.404281
305.0,749,723.609344
490.0,731,731.305353
485.0,706,738.450145
240.0,677,745.848212
515.0,810,754.118721
390.0,1094,765.625464
210.0,610,772.477154
300.0,1048,783.409256
310.0,731,791.048378
370.0,1072,802.157722
365.0,1102,813.744041
210.0,640,820.556787
210.0,675,827.783304
460.0,722,835.432414
330.0,1051,847.232636
320.0,1067,858.651071
545.0,1111,870.438404
645.0,1112,883.133783
290.0,726,891.132288
595.0,1080,902.482474
240.0,714,910.464603
595.0,962,920.176917
700.0,1117,931.818383
420.0,1103,943.443881
620.0,779,951.894851
435.0,1072,963.629958
345.0,1039,974.460007
390.0,1093,985.626531
285.0,706,993.335551
820.0,1085,1004.407677
450.0,1130,1016.827645
620.0,1070,1027.963229
375.0,1033,1038.953712
335.0,796,1047.423785
265.0,793,1055.737285
495.0,1086,1067.041775
850.0,1100,1078.668109
605.0,1101,1090.420525
215.0,621,1096.927998
315.0,782,1105.337708
250.0,676,1112.304509
345.0,759,1120.476894
755.0,1359,1134.738117
420.0,1085,1146.187032
515.0,796,1154.482469
570.0,797,1162.878531
310.0,731,1170.405218
210.0,632,1177.146008
525.0,1127,1188.480862
410.0,678,1196.191328
450.0,1104,1207.523122
820.0,1069,1218.790946
300.0,717,1226.566207
360.0,765,1234.690591
820.0,1062,1246.015635
450.0,1269,1259.579406
650.0,1105,1271.275836
700.0,1194,1283.857435
310.0,730,1291.331136
695.0,1183,1304.958824
500.0,1117,1316.836764
500.0,1126,1329.328013
345.0,752,1337.523835
495.0,1100,1348.792926
420.0,1087,1360.993721
620.0,1078,1372.06826
490.0,709,1379.657491
300.0,723,1387.306766
380.0,762,1395.891323
710.0,1203,1408.422126
620.0,1077,1419.977289
450.0,1265,1433.456303
315.0,693,1440.269399
310.0,769,1448.11598
320.0,714,1455.497419
530.0,759,1463.660058
425.0,826,1472.369576
875.0,1108,1483.520539
475.0,1157,1495.58668
620.0,1065,1507.032326
620.0,1072,1518.709923
450.0,1288,1532.399817
120.0,308,1535.55302
310.0,829,1544.476494
120.0,307,1547.645875
135.0,280,1550.492809
455.0,1251,1563.97419
210.0,609,1570.073044
485.0,700,1577.962147
825.0,1086,1589.675821
260.0,688,1597.21224
210.0,628,1603.819231
420.0,1063,1615.769882
545.0,791,1624.211843
150.0,311,1627.197589
365.0,1042,1637.950459
450.0,1154,1649.977174
450.0,1109,1662.498686
620.0,1084,1674.080504
135.0,305,1676.946239
485.0,681,1684.279707
420.0,1086,1695.269094
360.0,735,1703.283026
275.0,639,1709.762279
390.0,758,1717.646931
315.0,635,1724.454791
285.0,619,1730.754126
585.0,654,1737.751146
635.0,1154,1750.301568
375.0,799,1759.188113
595.0,967,1769.742508
255.0,527,1775.387975
420.0,1016,1786.041028
180.0,486,1791.344244
405.0,1181,1803.772938
320.0,663,1810.950415
495.0,1050,1822.30627
860.0,1577,1839.39809
295.0,642,1846.346328
330.0,671,1853.100956
270.0,617,1859.679811
240.0,589,1866.284391
650.0,995,1877.152974
150.0,369,1881.437725
280.0,696,1889.577583
300.0,668,1896.844959
520.0,804,1905.611523
465.0,1186,1917.86557
720.0,1103,1929.489823
790.0,1220,1942.560201
345.0,622,1949.293957
695.0,1072,1960.710989
260.0,575,1967.117127
335.0,620,1973.905413
850.0,994,1984.175066
245.0,591,1990.870425
435.0,910,2000.867198
670.0,1198,2013.251379
300.0,712,2021.396858
315.0,599,2027.839013
610.0,1428,2042.818118
425.0,943,2053.07656
465.0,1047,2064.438543
960.0,1137,2075.957335
695.0,1107,2087.364817
405.0,703,2095.318148
420.0,883,2104.173765
345.0,620,2110.597788
555.0,1199,2123.635769
365.0,634,2129.909087
425.0,741,2138.116201
345.0,616,2145.159831
525.0,861,2154.450543
630.0,1298,2167.826848
495.0,1006,2178.11226
170.0,363,2181.810945
360.0,727,2189.34262
345.0,524,2194.764006
450.0,992,2205.028641
525.0,1103,2216.533348
800.0,1129,2229.175754
700.0,1000,2240.257023
470.0,940,2250.55285
630.0,1355,2264.754232
725.0,1081,2276.654017
555.0,923,2285.963412
315.0,641,2292.657233
565.0,1285,2306.347123
505.0,1097,2317.140304
330.0,526,2322.745479
695.0,981,2333.197376
390.0,634,2339.718559
400.0,663,2347.013558
600.0,1023,2357.820575
465.0,940,2367.704249
805.0,1398,2382.104587
365.0,589,2388.238237
910.0,1451,2403.25639
285.0,579,2408.953264
285.0,551,2414.872532
365.0,596,2420.708636
330.0,787,2428.936262
550.0,936,2438.903665
755.0,1323,2453.104858
505.0,1003,2463.704666
445.0,647,2470.067212
685.0,1403,2484.712883
470.0,906,2494.228719
450.0,882,2503.522626
785.0,1102,2515.479062
755.0,1088,2526.59277
390.0,865,2535.650642
565.0,1008,2545.967632
320.0,621,2552.319896
800.0,1160,2564.373554
385.0,780,2571.95873
755.0,1077,2582.921728
335.0,610,2589.168407
475.0,944,2598.90538
400.0,749,2607.0298
345.0,578,2612.648646
585.0,1102,2624.485402
575.0,1084,2635.762075
330.0,605,2642.446323
445.0,772,2650.715267
180.0,393,2655.100667
845.0,1229,2667.622946
285.0,625,2674.13209
555.0,972,2685.008755
865.0,1467,2699.982154
520.0,1050,2711.65863
400.0,609,2718.152645
300.0,560,2724.203066
435.0,925,2734.313047
375.0,619,2741.068845
680.0,1258,2753.730887
315.0,575,2759.392764
260.0,720,2767.147489
940.0,1082,2778.211019
695.0,959,2788.297805
470.0,934,2797.998985
495.0,1010,2808.188024
480.0,847,2816.967092
575.0,1283,2830.085635
655.0,1073,2841.528289
185.0,377,2845.53395
865.0,1438,2860.408328
605.0,887,2869.616177
525.0,873,2878.511307
440.0,745,2886.597335
345.0,560,2892.486566
355.0,571,2898.603125
525.0,912,2908.191658
600.0,1261,2921.305862
660.0,935,2931.027516
695.0,1016,2941.534308
345.0,640,2948.024968
775.0,1079,2958.96856
800.0,1579,2976.092219
895.0,1469,2991.885423
350.0,627,2998.265259
380.0,616,3004.499004
185.0,405,3008.949252
335.0,633,3015.190456
830.0,1229,3028.638658
455.0,662,3035.792618
240.0,440,3040.545554
695.0,1478,3057.04321
785.0,1106,3069.084898
800.0,1480,3084.832958
545.0,1215,3101.168034
595.0,876,3111.567879
725.0,1158,3126.630181
435.0,1005,3138.963971
575.0,1489,3157.709257
490.0,1017,3169.688857
180.0,394,3174.433669
630.0,1000,3186.904679
585.0,1158,3202.648348
665.0,1236,3225.639145
410.0,697,3236.295392
895.0,1523,3260.043053
350.0,764,3274.621932
605.0,1070,3294.809308
700.0,1055,3312.186836
305.0,556,3322.240219
495.0,883,3337.90786
780.0,1169,3360.068287
665.0,1204,3382.125555
425.0,697,3394.5307
575.0,1126,3415.020231
905.0,1252,3437.600687
860.0,1341,3461.704748
900.0,979,3481.883379
710.0,1532,3510.060474
645.0,1268,3530.016926
720.0,925,3544.687555
760.0,1792,3575.455689
575.0,1192,3595.693919
490.0,961,3611.7572
580.0,1056,3630.2374
315.0,611,3641.248374
515.0,906,3658.615488
405.0,753,3672.724401
660.0,1558,3698.557307
495.0,1010,3717.724176
425.0,824,3733.118866
630.0,1199,3756.40184
240.0,445,3764.493586
345.0,648,3776.802744
585.0,814,3792.206972
480.0,1021,3811.72434
630.0,1036,3829.765503
605.0,1300,3851.268178
725.0,821,3865.616382
425.0,728,3879.140616
780.0,1198,3902.802301
710.0,1035,3921.74919
660.0,1479,3947.259001
395.0,822,3961.801925
260.0,484,3969.714724
375.0,610,3980.40349
300.0,514,3989.70504
615.0,978,4008.691071
600.0,1233,4031.316858
775.0,1011,4049.56213
525.0,837,4063.831388
410.0,762,4077.02139
250.0,527,4086.184193
220.0,516,4094.208836
210.0,408,4100.311707
580.0,1030,4117.015872
165.0,340,4123.306257
665.0,1511,4151.35161
825.0,1474,4177.534893
430.0,694,4190.782992
580.0,932,4207.608319
530.0,891,4222.642475
160.0,372,4228.326423
485.0,777,4241.320009
605.0,1113,4260.632404
405.0,693,4271.995742
