r,l,t
150.0,661,14.979001
105.0,533,20.817798
230.0,696,28.450137
210.0,591,34.930253
125.0,437,39.549819
175.0,649,46.775217
245.0,1140,59.191174
135.0,484,64.464868
115.0,518,70.118645
195.0,743,78.058309
80.0,408,82.407783
105.0,405,87.282326
20.0,386,91.101969
110.0,309,95.052008
115.0,365,99.179658
25.0,273,102.077445
15.0,356,105.475663
100.0,507,110.778207
25.0,286,113.913158
45.0,329,117.633694
55.0,291,120.884033
155.0,426,125.683694
80.0,393,130.061871
310.0,674,137.562403
210.0,648,144.363023
105.0,336,147.712004
210.0,690,155.304618
260.0,739,162.873587
210.0,603,169.97632
30.0,292,173.097796
210.0,624,179.546918
105.0,472,184.735226
260.0,712,192.278917
135.0,578,199.055926
110.0,487,203.82209
135.0,587,210.316274
260.0,730,218.140881
110.0,499,223.388389
155.0,579,229.988499
185.0,593,236.030869
210.0,636,242.69655
210.0,636,250.015452
80.0,302,253.235467
315.0,973,264.248135
210.0,633,271.220627
155.0,608,278.062372
50.0,286,281.05164
210.0,621,287.439815
490.0,770,295.700527
180.0,599,302.103143
300.0,791,310.699965
215.0,654,318.090887
560.0,796,326.774459
460.0,751,335.246303
280.0,745,343.382417
345.0,1055,354.681326
265.0,763,362.77667
260.0,715,370.574927
180.0,598,376.724473
490.0,681,384.058576
330.0,790,392.688515
260.0,648,399.483553
745.0,1096,412.071935
210.0,597,418.946589
240.0,814,427.439399
210.0,600,433.979587
155.0,595,439.926644
155.0,591,446.301019
460.0,722,453.444207
160.0,586,459.98562
290.0,742,467.467105
275.0,762,475.522774
375.0,1091,487.38252
330.0,786,495.600489
260.0,739,503.925253
110.0,525,509.576479
270.0,833,517.95335
485.0,722,525.677138
410.0,619,531.942999
260.0,729,540.038943
410.0,602,546.318954
210.0,596,552.481891
380.0,601,558.952755
260.0,747,566.935392
465.0,746,575.264853
180.0,595,581.35669
210.0,631,588.231209
270.0,735,595.963305
210.0,620,602.402759
210.0,618,609.225758
300.0,823,618.985281
410.0,603,625.168137
460.0,709,632.804909
260.0,721,640.215641
210.0,617,646.962781
410.0,613,653.469235
355.0,801,662.294832
520.0,803,670.957456
210.0,613,677.716116
210.0,613,684.283964
