r,l,t
50.0,279,10.465536
80.0,298,13.730544
105.0,380,18.09152
425.0,622,25.109197
105.0,456,29.880797
155.0,578,36.26906
135.0,527,42.021808
90.0,430,46.612391
150.0,592,52.84795
210.0,483,58.200229
155.0,466,63.18827
80.0,283,66.184923
210.0,458,70.916886
15.0,302,74.664145
360.0,725,82.295138
115.0,416,87.318893
120.0,374,90.999121
45.0,366,95.364587
85.0,577,101.965241
35.0,363,105.469716
235.0,645,112.487221
400.0,799,121.905846
420.0,722,129.809208
135.0,373,133.737409
80.0,375,137.766018
210.0,658,144.691037
210.0,622,151.226341
465.0,714,158.6163
30.0,282,161.570578
135.0,518,167.424852
260.0,731,175.788133
410.0,604,182.046125
180.0,621,188.465297
385.0,621,195.498462
110.0,490,200.875814
210.0,633,207.587547
185.0,594,213.957115
210.0,600,220.594774
260.0,717,228.453826
105.0,482,233.380939
210.0,595,239.704143
380.0,634,246.841634
210.0,637,254.172973
210.0,618,260.941711
410.0,636,267.443329
180.0,646,274.61294
285.0,713,282.705886
210.0,594,288.852429
285.0,726,296.826677
415.0,1165,309.255364
260.0,746,317.801741
240.0,718,325.348116
460.0,717,333.728975
210.0,629,340.702034
265.0,722,347.959865
80.0,305,351.442856
180.0,612,357.857852
110.0,508,363.104119
185.0,665,370.105498
260.0,712,377.992866
210.0,625,384.804661
440.0,665,392.055064
290.0,726,399.95301
225.0,638,406.649983
410.0,623,413.761073
120.0,473,419.275371
130.0,516,424.727193
110.0,501,429.991075
315.0,928,439.700588
155.0,606,446.223855
155.0,587,451.971983
260.0,748,460.160033
425.0,702,467.310048
315.0,987,477.947152
210.0,612,484.525889
565.0,1096,495.865316
210.0,604,502.749071
575.0,1098,514.221848
500.0,1002,524.601562
210.0,611,531.236078
180.0,649,538.285557
240.0,669,545.181791
335.0,820,553.93432
410.0,635,560.565608
210.0,619,567.188899
210.0,670,574.371747
265.0,735,582.558039
545.0,801,591.111638
570.0,1087,602.842106
210.0,594,609.121183
460.0,719,617.772705
245.0,680,624.925236
285.0,728,632.638907
325.0,803,641.076312
285.0,708,648.455683
775.0,1092,660.616445
210.0,672,668.019647
210.0,604,674.584738
390.0,1070,685.876183
470.0,719,692.968378
485.0,716,700.933749
315.0,809,709.700654
560.0,1122,721.637919
620.0,1109,733.153799
485.0,717,740.639235
275.0,802,749.14712
490.0,721,756.727947
270.0,754,764.991134
210.0,660,772.104195
490.0,707,779.35361
620.0,1088,790.760066
620.0,1106,802.142329
790.0,1105,813.739594
260.0,732,821.300817
300.0,745,829.404219
505.0,840,839.056105
460.0,728,846.43504
670.0,1219,859.946918
390.0,1065,871.455312
320.0,679,878.910283
320.0,729,886.971844
