r,l,t
180.0,538,13.543694
90.0,360,17.30442
135.0,580,23.94019
55.0,407,28.395973
60.0,400,32.63361
180.0,598,39.314287
235.0,653,46.385621
75.0,464,51.413447
215.0,750,59.508739
430.0,698,66.7037
235.0,719,75.00767
250.0,612,81.679603
80.0,458,86.470378
115.0,595,93.564663
365.0,488,99.144654
225.0,578,105.046535
50.0,307,108.327702
90.0,321,111.871083
300.0,655,119.13096
125.0,437,124.098276
85.0,423,128.685869
205.0,616,135.380945
35.0,340,139.091979
135.0,474,143.735487
410.0,608,150.257091
185.0,599,156.909835
140.0,286,159.839391
180.0,595,166.057686
210.0,635,173.394534
260.0,723,180.976364
35.0,340,184.829627
210.0,615,191.130143
150.0,577,198.01473
440.0,727,205.345365
185.0,614,212.24007
180.0,605,218.927839
210.0,666,225.91257
210.0,632,232.871009
180.0,601,238.947606
410.0,650,245.922648
210.0,646,253.329918
285.0,716,261.480543
240.0,731,269.561003
260.0,733,277.432351
135.0,587,284.118781
210.0,638,291.041155
210.0,633,297.687579
355.0,607,304.067607
385.0,601,310.523575
410.0,612,317.595734
50.0,298,320.680295
210.0,610,327.681508
180.0,648,334.784298
180.0,606,341.103024
155.0,591,347.384228
120.0,510,352.937517
390.0,1057,364.195597
80.0,308,367.262757
470.0,730,375.28307
210.0,635,382.004769
215.0,650,389.176018
590.0,1093,400.6223
210.0,624,407.860612
180.0,626,414.968791
210.0,622,421.807105
225.0,652,428.800921
180.0,627,435.511868
410.0,602,441.56996
480.0,718,449.194802
210.0,609,455.188428
180.0,664,462.548396
460.0,728,470.133867
320.0,818,479.042639
620.0,1088,490.281439
270.0,763,498.524061
210.0,612,505.431113
410.0,631,511.687289
210.0,629,518.255257
180.0,616,524.598163
260.0,743,532.819715
210.0,592,538.945308
570.0,1007,549.776541
365.0,1095,561.461521
500.0,745,569.214388
625.0,1192,582.467832
210.0,643,589.328748
590.0,1088,600.862886
485.0,715,608.729624
210.0,604,615.471205
260.0,734,623.674484
215.0,640,630.267964
210.0,601,636.847041
290.0,738,644.588213
390.0,1082,656.266099
210.0,613,662.751579
285.0,716,670.759665
345.0,801,679.34232
360.0,784,687.515538
365.0,1070,698.625361
390.0,1085,710.909777
285.0,707,717.989151
420.0,1076,729.786351
290.0,811,737.956813
470.0,738,745.918305
315.0,800,754.092209
835.0,1283,767.973722
590.0,1090,779.491471
110.0,502,784.651049
570.0,1059,795.657212
275.0,718,803.213127
260.0,730,810.54669
180.0,556,816.523942
210.0,616,823.25189
620.0,1096,835.088237
620.0,1125,847.461654
390.0,1095,859.005065
435.0,1224,872.781635
285.0,716,880.558679
390.0,1076,892.44408
435.0,1129,904.304851
435.0,1091,916.164806
575.0,825,924.609888
290.0,716,931.920338
210.0,618,938.656647
515.0,837,947.447773
420.0,1074,958.94682
500.0,1067,970.392165
275.0,732,977.797794
515.0,720,985.349316
270.0,757,993.482195
240.0,662,1000.08753
470.0,1254,1013.801956
230.0,625,1020.011544
260.0,724,1027.854442
285.0,701,1035.13584
210.0,612,1041.930444
275.0,740,1049.909505
415.0,1094,1060.812397
650.0,1092,1072.599976
285.0,715,1080.040102
260.0,733,1087.888607
590.0,1072,1099.041904
545.0,769,1107.325505
565.0,760,1115.303795
495.0,1126,1127.256192
880.0,1205,1140.175339
335.0,732,1147.616369
390.0,1087,1158.813023
450.0,1094,1170.485844
670.0,1089,1181.591568
485.0,708,1189.377319
635.0,840,1198.097958
420.0,1080,1209.627938
290.0,706,1216.88789
330.0,721,1224.875189
525.0,848,1233.526011
715.0,1193,1246.371519
415.0,631,1253.021339
625.0,1099,1265.03399
285.0,688,1272.325631
590.0,1065,1283.10227
310.0,736,1290.961752
210.0,645,1298.065322
315.0,683,1305.51098
420.0,1082,1317.782059
180.0,529,1323.519726
695.0,1078,1334.984689
635.0,1202,1347.711375
225.0,665,1355.159015
390.0,1066,1366.281855
345.0,1023,1377.217476
390.0,1054,1388.656294
620.0,1064,1400.317193
670.0,1339,1414.542363
675.0,1138,1426.151492
530.0,1146,1438.155114
620.0,1060,1449.220821
630.0,1523,1465.100449
650.0,1104,1476.572971
485.0,705,1483.746936
345.0,793,1492.26939
370.0,780,1500.649585
515.0,732,1508.263838
545.0,807,1516.586048
670.0,1292,1530.586983
285.0,697,1538.147775
320.0,744,1546.031586
620.0,1110,1557.769827
210.0,561,1563.735729
135.0,312,1567.065872
495.0,697,1574.108156
290.0,732,1582.353863
285.0,694,1589.800029
315.0,751,1597.800382
155.0,313,1601.610338
135.0,305,1604.807963
475.0,1262,1618.471201
135.0,317,1621.599933
420.0,754,1629.760441
365.0,1069,1640.559597
670.0,1107,1652.242834
290.0,719,1660.05457
210.0,592,1666.619532
465.0,1101,1678.232779
180.0,471,1683.274182
595.0,1094,1694.613386
285.0,682,1701.936714
285.0,695,1708.862921
450.0,1130,1720.695013
180.0,481,1725.971078
215.0,658,1732.800142
440.0,873,1741.978087
320.0,901,1751.86165
240.0,604,1758.743678
465.0,889,1768.347643
225.0,543,1774.13181
420.0,898,1783.436426
390.0,926,1793.392832
620.0,894,1802.675971
420.0,744,1811.006439
560.0,877,1820.609051
290.0,570,1826.58105
155.0,401,1830.92607
470.0,1189,1843.755413
335.0,653,1850.38646
260.0,657,1857.643788
180.0,492,1862.512923
590.0,972,1873.693177
240.0,583,1879.986652
390.0,998,1891.340698
290.0,641,1898.451897
390.0,878,1908.255896
590.0,975,1917.996323
545.0,643,1924.669842
300.0,762,1932.89204
300.0,640,1939.71601
640.0,1053,1950.972892
605.0,736,1959.001824
290.0,662,1966.060491
345.0,635,1972.905074
660.0,1493,1989.183902
330.0,654,1996.445165
695.0,913,2006.275733
975.0,1234,2018.973825
370.0,646,2026.329375
510.0,1181,2039.26999
505.0,750,2046.753757
695.0,1008,2057.532932
390.0,714,2065.573941
305.0,593,2071.195073
450.0,749,2079.039008
550.0,1260,2092.598124
535.0,905,2102.179013
380.0,594,2108.039055
330.0,563,2114.079113
525.0,1012,2125.042338
870.0,990,2135.360668
285.0,513,2141.138714
420.0,736,2149.257862
555.0,1063,2160.052383
345.0,558,2165.603668
345.0,594,2172.189435
345.0,571,2178.009434
980.0,1278,2191.21954
780.0,1150,2202.905469
635.0,1042,2213.83128
500.0,959,2224.734985
240.0,502,2230.250881
390.0,903,2240.12427
605.0,1118,2252.190151
365.0,585,2258.501661
320.0,597,2264.637307
680.0,769,2272.757092
300.0,607,2279.335752
450.0,969,2289.071216
460.0,887,2298.629379
570.0,720,2306.384264
315.0,674,2312.940094
345.0,565,2318.71849
405.0,770,2326.612728
450.0,851,2335.783701
650.0,924,2345.66104
770.0,1161,2357.982828
400.0,702,2365.732188
335.0,657,2372.412862
575.0,1294,2385.590058
775.0,1220,2398.085536
670.0,925,2407.547973
600.0,1163,2419.499322
635.0,950,2429.637563
375.0,700,2436.508874
400.0,714,2444.620442
450.0,815,2453.200699
570.0,709,2460.334366
940.0,972,2470.385799
865.0,1143,2482.134699
185.0,404,2486.468981
760.0,1589,2503.417487
380.0,613,2510.240818
295.0,648,2516.925745
315.0,703,2523.949927
530.0,1273,2537.230054
485.0,924,2546.645404
440.0,915,2556.304416
330.0,569,2561.917192
600.0,1064,2572.533928
835.0,1502,2587.876018
390.0,778,2596.046256
325.0,494,2601.306051
795.0,1766,2619.464154
755.0,1013,2630.464941
855.0,1364,2645.178513
665.0,726,2652.617227
760.0,1007,2663.239324
600.0,682,2670.770872
435.0,644,2677.642108
505.0,970,2687.704911
775.0,1469,2703.051838
500.0,1002,2714.2827
515.0,950,2725.001701
575.0,1068,2736.583758
350.0,618,2743.11801
365.0,548,2748.403388
540.0,1060,2758.90526
630.0,1164,2771.137898
1010.0,1793,2789.851362
260.0,714,2797.410334
455.0,1085,2808.235746
435.0,721,2816.012123
360.0,639,2822.025453
365.0,663,2829.185082
575.0,1332,2843.02649
240.0,443,2847.567503
575.0,1335,2861.59806
800.0,1222,2873.913494
525.0,1188,2886.826055
185.0,378,2890.744312
555.0,1123,2902.748582
445.0,688,2909.745803
610.0,968,2920.003953
660.0,633,2926.660423
470.0,967,2936.532437
735.0,1580,2952.636015
565.0,1042,2963.9721
765.0,1596,2981.233697
785.0,1241,2994.143899
290.0,605,3000.140671
375.0,688,3007.689916
405.0,1028,3018.465375
435.0,721,3025.887232
550.0,1086,3038.290035
700.0,1013,3048.828346
360.0,634,3055.909384
445.0,593,3062.447489
805.0,1154,3074.725433
565.0,873,3084.377023
395.0,628,3092.927052
450.0,646,3101.065816
645.0,881,3111.514699
555.0,1062,3125.132314
600.0,1236,3140.589676
600.0,1149,3154.958395
740.0,1077,3167.8733
285.0,670,3175.93432
940.0,1315,3193.255752
550.0,891,3206.920495
685.0,1486,3232.049742
870.0,914,3246.632375
360.0,603,3255.80623
565.0,700,3267.298455
485.0,672,3281.031206
445.0,1071,3300.103729
575.0,1204,3320.538059
695.0,1358,3345.364017
555.0,1116,3366.320982
750.0,1564,3394.841967
805.0,1144,3415.616157
575.0,1204,3437.429085
380.0,577,3447.456209
655.0,923,3464.437177
690.0,1554,3495.295664
550.0,1043,3513.490122
485.0,742,3524.711735
795.0,1015,3541.318486
370.0,608,3550.933405
640.0,1243,3571.981207
580.0,1151,3592.124285
605.0,1189,3612.710479
495.0,950,3629.189742
755.0,1334,3653.621478
415.0,607,3665.441975
525.0,1272,3687.466659
800.0,982,3703.773557
330.0,611,3715.32532
655.0,828,3731.737751
600.0,1282,3756.10538
780.0,836,3771.610663
375.0,625,3783.752054
705.0,1088,3804.404879
725.0,1166,3825.41637
470.0,912,3840.590253
555.0,1162,3859.752882
390.0,660,3871.759106
515.0,1105,3893.485145
630.0,1208,3916.009544
455.0,724,3929.083639
455.0,698,3940.926392
600.0,1119,3960.377728
575.0,1427,3985.389434
480.0,754,3999.425752
530.0,852,4016.129605
585.0,1139,4036.426261
300.0,606,4047.589144
545.0,1165,4067.678706
490.0,933,4084.038323
575.0,1213,4103.332049
570.0,1133,4122.488887
285.0,544,4132.322097
560.0,926,4149.287209
600.0,1103,4168.74091
575.0,1401,4194.517211
350.0,696,4207.480162
510.0,828,4221.192969
545.0,818,4233.819302
425.0,699,4246.560379
645.0,1409,4270.285626
630.0,1065,4287.82698
780.0,1144,4307.786638
560.0,819,4322.057896
560.0,780,4336.083847
525.0,846,4351.889268
430.0,1095,4372.133296
970.0,1102,4390.95611
495.0,841,4404.851301
545.0,1003,4423.210608
575.0,969,4441.540644
520.0,1028,4459.789465
545.0,1218,4479.93715
